iknow00001	CES(消費性電子展)：自動駕駛系統(Autonomous System)
iknow01564	人工智慧(AI)：影像辨識：醫療保健(healthcare)：智慧醫療：深度學習(deep learning)
iknow01565	半導體(Semiconductor)
iknow01566	平板電腦(Tablet Device)：蘋果(Apple, Inc.)：iPad
iknow01567	折疊式顯示器(Foldable Display)：折疊式筆記型電腦(Foldable Laptop PC)：三星(Samsung)
iknow01568	區塊鏈(Blockchain)：智慧型手機(Smartphone)：宏達電：Exodus
iknow01569	智慧型手機(Smartphone)：折疊式手機(Foldable Phone)：三星(Samsung)：谷歌(Google)：安卓(Android)
iknow01570	福建晉華(JHICC)：DRAM：半導體晶片：出口禁令：美中貿易戰：科技霸權
iknow01571	顯示器(Display)：有機發光二極體(OLED)：智慧型手機(Smartphone)
iknow01572	Global Innovation：研發經費：研發密度
iknow01573	專利與商標統計：發明專利：智慧財產局
iknow01574	機器人(Robotics)： 人工智慧(AI)
iknow01575	GLOBALFOUNDRIES：Avera Semi：定制ASIC解決方案：半導體晶片
iknow01576	液壓摩擦奈米發電機：生物降解：紙質電池：鋰氧電池：氮化銦鎵：太陽能電池
iknow01577	DRAM：美國司法部：福建晉華(JHICC)：聯電：專利侵權：營業秘密
iknow01578	群創：惠科電子：專利無效性：專利侵權：液晶顯示 (LCD)
iknow01579	Unwired Planet：Huawei：SEPs專利授權：標準必要專利 (SEPs)：禁售令
iknow01580	人工智慧(AI)：半導體(Semiconductor)：晶片設計(Chip Design)
iknow01581	平板電腦(Tablet Device)：蘋果(Apple, Inc.)：智慧型手機(Smartphone)
iknow01582	全球經濟：台灣經濟：亞太經濟：
iknow01583	自動駕駛汽車(Autonomous Car)：無人駕駛車(Self-Driving Car)：汽車產業(Auto Industry)
iknow01584	南韓主權專利基金：Intellectual Discovery (ID)：NPE：專利訴訟
iknow01585	專利迷思：專利與市值
iknow01586	智慧手錶(Smart Watch)：蘋果(Apple, Inc.)：穿戴式裝置(Wearable Device)
iknow01587	智慧型手機(Smartphone)：折疊式手機(Foldable Phone)：柔宇科技(Royole Corporation)：FlexPai
iknow01588	智慧音箱(Smart Speaker)：智慧手錶(Smart Watch)：消費性科技產品(Consumer Technology Product)：智慧家庭(Smart Home)：無線耳機(Wireless Earbud)
iknow01589	智權地雷：新創團隊：專利申請：智權策略
iknow01590	數位物件：精準預測：虛擬情境
iknow01591	高通 (Qualcomm)：反壟斷案 (Anti-trust)：反托拉斯：基頻晶片：SEPs
iknow01592	高通 (Qualcomm)：反壟斷案 (Anti-trust)：反托拉斯：基頻晶片：SEPs
iknow01593	區塊鏈(Blockchain)：智慧城市(Smart City)：Blockchains LLC：新創公司
iknow01594	數位健康(digital health)：新創(startup)：醫療保健(healthcare)：智慧醫療 (Smart Health)：人工智慧 (AI)
iknow01595	內建Wi Fi：車輛追蹤裝置：u blox：ERM Advanced Telematics
iknow01596	鴻海：美國製造：美國期中選舉：鴻海威州計畫
iknow01597	DRAM案：聯電(UMC)：美光(Micron)：奈米製程
iknow01598	智慧型手機(Smartphone)：折疊式手機(Foldable Phone)：三星(Samsung)：谷歌(Google)：安卓(Android)
iknow01599	智慧音箱(Smart Speaker)：語音助理(Voice Assistant)：中國大陸(China)
iknow01600	顯示器(Display)：MiniLED：智慧型手機(Smartphone)：電視(TV)
iknow01601	半導體供應商：IC半導體
iknow01602	台積電 (TSMC)：資本預算
iknow01603	全球平板電腦出貨：平板電腦市場
iknow01604	純晶圓代工市場(Pure-Play Foundry)：台積電 (TSMC)：通信晶片：PC晶片
iknow01605	賓士(Benz)：BMW：汽車共享服務
iknow01606	二維材料：合成細胞機器人：奈米電子：感測元件
iknow01607	中國空污：甲醛：二氧化硫：羥甲磺酸鈉
iknow01608	企業平均燃油經濟性(CAFE)：增效肥料(EEF)：農業生產改革：氮汙染：農業政策
iknow01609	自修復材料：葉綠體：胺丙基甲基丙烯酰胺：Aminopropyl Methacrylamide
iknow01610	扭曲光線：奈米光子偵測裝置：光訊號解析：量子訊號解析
iknow01611	抗生素：超級細菌：機器學習：個人化醫療
iknow01612	折疊式AMOLED面板出貨量：折疊式智慧手機
iknow01613	限塑政策：塑料吸管：海洋生態：可再生能源
iknow01614	區塊鏈(Blockchain)：區塊鏈即是服務(Blockchain-as-a-Service)
iknow01615	虛擬實境手套：虛擬觸覺：DextrES：力回饋
iknow01616	人工智慧(AI)：機器人流程自動化(Robotics Process Autimation)
iknow01617	半導體(Semiconductor)：中國大陸(China)
iknow01618	行動支付(Mobile Payment)：近端行動支付(Proximity Mobile Payment)
iknow01619	德國：電動車電池：工業電池：固態電池：歐盟電池聯盟(battery cell consortium)
iknow01620	歐洲專利局 (EPO)：人工智慧：機器學習：專利審查指南：技術特徵(technical character)
iknow01621	生物多樣性：氣候變遷：二氧化碳：珊瑚白化：氣候評估：海綿狀材料：氣溶膠粒子
iknow01622	基因泰克(Genentech)：華裔員工：喜康生技(JHL)：營業秘密：生物仿生藥
iknow01623	視網膜病變系統：神經網絡序列：機器學習：自然對話音頻：癌症腫瘤演變預測：Kir2離子通道：膽固醇含量：光子奈米結構優化：DNA演算法：自駕車導航人性化
iknow01624	IMD：2018年世界人才報告：人才流失：吸引人才
iknow01625	三星：5G：AI
iknow01626	半導體產業(Semiconductor Industry)：AI晶片(AI Chip)：華為(Huawei)：三星(Samsung)：蘋果(Apple, Inc.)：高通(Qualcomm)
iknow01627	再生水：水資源管理：水回收
iknow01628	再生醫療：神經再生：電刺激植入裝置
iknow01629	物聯網(IoT)：10大趨勢：資訊長 (CIO)
iknow01630	眼動儀：低耗能裝置：穿戴式裝置：免電池
iknow01631	智慧型手機(Smartphone)：折疊式手機(Foldable Phone)：三星(Samsung)
iknow01632	智慧音箱(Smart Speaker)：語音助理(Voice Assistant)：智慧顯示器(Smart Display)
iknow01633	塑料廢棄物：PET氣凝膠(aerogel)：隔熱材料：氣體吸收劑：吸油材料
iknow01634	製造業：產值
iknow01635	蘋果(Apple, Inc.)：智慧型手機(Smartphone)：iPhone
iknow01636	AI晶片：IEC 61508
iknow01637	人工智慧(AI)：區塊鏈(Blockchain)：5G：雲端運算(Cloud Computing)：大數據(Big data)
iknow01638	區塊鏈 (Blockchain)：醫療產業：AI
iknow01639	無人駕駛車(Self-Driving Cars)：自動駕駛車(Autonomous Cars)：Waymo
iknow01640	總體經濟：外銷訂單：
iknow01641	擴增實境(AR)： AR頭戴式裝置(AR Headset)：AR眼鏡(AR Glass)
iknow01642	光學指紋識別模組：專利訴訟：匯頂科技：思立微：北京兆易創新科技：指紋晶片
iknow01643	海康威視公司(HikVision)：安全監控：面部識別監控系統
iknow01644	專利訴訟：專利侵權：3D控制器：人機互動
iknow01645	醫療保健(healthcare)：數位健康(digital health)：人工智慧(AI)：蘋果手錶(Apple Watch)：顧客體驗(customer experience)
iknow01646	污水處理廠：藥物殘留：藥物汙染
iknow01647	抗藥性HIV：阿茲海默症：I3C：結腸癌：瘧疾蛋白：RNA疫苗：生物銀行：晶片器官
iknow01648	急性腎衰竭：DNA摺紙奈米結構：精準醫療
iknow01649	美中貿易戰：關鍵技術：出口管制
iknow01650	減碳：二氧化碳循環：碳黑奈米粒子：碳轉換：工業燃料
iknow01651	熱壓印：原子尺度結構複製：鈦酸鍶
iknow01652	APP應用程式：傭金收取政策：反壟斷
iknow01653	人工智慧(AI)：量子運算(Quantum Computing)：法國(France)：比利時(Belgium)
iknow01654	工業生產：總體產業：
iknow01655	行動支付(Mobile Payment)：亞馬遜支付(Amazon Pay)
iknow01656	串流影視服務(Streaming Video Service)：蘋果(Apple, Inc.)：Apple TV：串流媒體(Streaming Meida)
iknow01657	美中貿易戰：台灣經濟：
iknow01658	智慧型手機(Smartphone)：5G：
iknow01659	無人駕駛車(Self-Driving Cars)：自動駕駛車(Autonomous Cars)：英國(UK)
iknow01660	臉書(Facebook)：蘋果(Apple, Inc.)：亞馬遜(Amazon)：Netflix：谷歌(Google)：微軟(Microsoft)
iknow01661	臉書(Facebook)：蘋果(Apple, Inc.)：亞馬遜(Amazon)：Netflix：谷歌(Google)：微軟(Microsoft)
iknow01662	美中貿易戰效應：蘋果供應鏈：台灣桃園
iknow01663	區塊鏈(Blockchain)：智慧合約(Smart Contract)
iknow01664	3D列印：二維材料：石墨烯：有機金屬架構(MOF)：奈米致動器：膠體晶體：高功率元件：金屬氧化物半導體場效應電晶體(MOSFET)：過渡金屬碳化合物(MXene)
iknow01665	RFID標籤：食品安全檢測：食物汙染
iknow01666	X射線成像：X光顯微鏡：超亮X射線
iknow01667	有機廢物：光合細菌：降低碳排放：生物電化學
iknow01668	律師機器人(LawRobot)：DoNotPay：法庭訴訟：人工智慧(AI)
iknow01669	速度繁殖：快速育種：植物工廠
iknow01670	全球區塊鏈企業專利
iknow01671	南韓：技術盜竊：營業秘密：OLED
iknow01672	歐洲專利局(EPO)：自動駕駛汽車(SDV)：專利佈局
iknow01673	聲音商標：商標申請：聲音顯著性
iknow01674	5G：智慧型手機(Smartphone)：
iknow01675	人工智慧(AI)：裝置上AI(On-Device AI)：高通(Qualcomm)
iknow01676	半導體(Semiconductor)：三星(Samsung)：
iknow01677	智慧手錶(Smart Watch)：穿戴式裝置(Wearable Device)：耳戴裝置(ear-worn devices：Hearable)：頭戴式顯示器(Head-Mounted Displays)
iknow01678	CES 2019：5G
iknow01679	中國大陸：國家統計局：《戰略性新興產業分類(2018)》
iknow01680	世界智慧財產權組織：WIPO：國際製藥商協會聯合會：IFPMA：藥品專利：
iknow01681	台灣智慧型手機市場：AI邊緣運算：折疊外觀設計：5G
iknow01682	全球半導體：半導體設備銷售
iknow01683	南韓：5G商用服務：5G網路
iknow01684	關鍵字：WiFi：5G：WiFi 6晶片組(WiFi 6 Chipset)
iknow01685	關鍵字：自動駕駛車(Autonomous Car)：自動駕駛送貨車(Autonomous Delivery Vehicle)：
iknow01686	 超連續光譜：機器學習：超短光脈衝：光脈衝參數
iknow01687	1-氨基降烷：氨基環丙烷：光催化劑：光觸媒：無害代謝物
iknow01688	世界智慧財產權組織(WIPO)：專利申請：商標申請
iknow01689	台灣ICT市場：十大趨勢預測：IDC(國際數據資訊)： 
iknow01690	拓樸絕緣體：光子晶體：光通訊：光子技術
iknow01691	區塊鏈(Blockchain)：區塊鏈即服務(BaaS：Blockchain as a Service)
iknow01692	廢塑料回收：生物塑料：低土地管理技術：農業管理：溫室效應：二氧化碳濃度：塑料廢棄物燃料：硫酸鎘：粉紅噪音：有機汙染物
iknow01693	5G：智慧型手機(Smartphone)：
iknow01694	5G釋照：5G頻譜：中國大陸
iknow01695	筆記型電腦(Notebook PC)：高通(Qualcomm)：處理器(CPU)
iknow01696	虛擬實境(VR)：VR頭戴式裝置(VR Headset)：AR頭戴式裝置(AR Headset)：擴增實境(AR)
iknow01697	總體經濟：製造業
iknow01698	蘋果(Apple, Inc.)：亞馬遜(Amazon)：谷歌(Google)：微軟(Microsoft)
iknow01699	CES：科技趨勢
iknow01700	半導體(Semiconductor)：英特爾(Intel)：MESO(magneto-electric spin-orbit)：自旋電子學(Spintronics)：量子材料
iknow01701	技術趨勢：機器學習：大數據：雲平台
iknow01702	高通：蘋果iPhone：初步禁制令(Preliminary Injunctions)
iknow01703	智慧型手機(Smartphone)：折疊式手機(Foldable Phone)：三星(Samsung)：安卓(Android)：蘋果(Apple, Inc.)
iknow01704	智慧型手機組裝排名：手機組裝代工
iknow01705	CES 2019：新創公司
iknow01706	行動支付(Mobile Payment)：穿戴式裝置(Wearable Device)：智慧手錶(Smartwatch)：智慧戒指(Smart Ring)
iknow01707	全球半導體設備銷售金額：半導體設備支出
iknow01708	光調製器：高速資料傳輸：5G
iknow01709	英特爾(Intel)：3D堆疊封裝技術：Foveros：半導體製程
iknow01710	氣體噴流：氣相透鏡：極紫外光：光學技術
iknow01711	窄束雷射光：矽晶片：矽光子電路：二氧化矽諧振器：光催化：量子糾纏：OLED：超短光脈衝
iknow01712	氫氣：乾淨能源：溫室氣體
iknow01713	晶片實驗室：抗生素測試：細菌檢驗：非接觸式診斷
iknow01714	溫室氣體：碳排放量：綠電購買協議
iknow01715	5G：智慧型手機(Smartphone)
iknow01716	半導體(Semiconductor)：DRAM：NAND型快閃記憶體(NAND Flash Memory)：
iknow01717	無人機(Drone)：農業：AI
iknow01718	蘋果(Apple, Inc.)：蘋果支付(Apple Pay)：應用程式商店(App Store)：影視串流服務(Streaming video service)
iknow01719	白光LED：專利侵權訴訟：YAG專利：損害賠償金
iknow01720	自動駕駛車(Autonomous Car)：無人駕駛計程車(Self-driving taxi)
iknow01721	國人赴海外工作：人才流動
iknow01722	智慧型手機(Smartphone)：隨機存取記憶體(RAM)
iknow01723	智慧音箱(Smart Speaker)：語音助理(Voice Assistant)
iknow01724	台灣市場調查：企業儲存系統全快閃記憶體(AFA)：快閃記憶體
iknow01725	全球晶圓廠設備投資：半導體產業
iknow01726	區塊鏈(Blockchain)：汽車產業(Car Industry)
iknow01727	科技部長陳良基：CES 2019：Eureka Park：新創團隊
iknow01728	原子層沉積(ALD)：太陽能電池：3D固態電池：鋰離子電池：鈉離子電池：燃料電池：超級電容
iknow01729	外銷訂單：
iknow01730	皮膚癌診斷：反射共聚焦顯微鏡：人工智慧：皮膚鏡檢查
iknow01731	再生能源儲存系統：焦耳加熱：電熱轉換：液態矽
iknow01732	谷電子學(valleytronic)：拓樸結構：電子束光刻：石墨烯
iknow01733	德國法院：高通：蘋果：iPhone手機：禁售令
iknow01734	專利授權公司：Tela Innovations, Inc.：337調查：ITC：IC晶片
iknow01735	鴻海集團(Foxconn)：夏普：晶片製造：12吋晶片廠：中國珠海
iknow01736	CES展覽：有機發光二極體(OLED)：電視機(TV)
iknow01737	自動駕駛車(Autonomous Car)：電動車(EV)：2019 CES  
iknow01738	個人電腦(PC)：蜂巢式PC(Cellular PC)：LTE：ARM處理器(ARM Processor)
iknow01739	毫米波技術(mmWave)：5G：5G頻譜
iknow01740	蘋果(Apple, Inc.)：高通(Qualcomm)：無線產業(Wireless Industry)：IP授權模式(intellectual property licensing model)：標準必要專利(SEP)：5G
iknow01741	蘋果(Apple, Inc.)：高通(Qualcomm)：無線產業(Wireless Industry)：IP授權模式(intellectual property licensing model)：標準必要專利(SEP)：5G
iknow01742	人工智慧(AI)：機器學習(Machine Learning)：亞馬遜(Amazon.com)：語音助理(Voice Assistant) 
iknow01743	上海新昇半導體(Zing Semi)：矽晶圓：半導體材料
iknow01744	區塊鏈(Blockchain)
iknow01745	智慧手錶(Smart Watch)：穿戴式裝置(Wearable Device)
iknow01746	紫光集團：紫光存儲科技：群聯電子：記憶體供應鏈
iknow01747	穩懋：VCSEL製程：半導體製程：3D感測：商業竊密
iknow01748	CES 2019：日本新創公司：Start-UP
iknow01749	本土化AI醫療影像資料庫：AI醫療影像：科技部：醫療影像專案計畫
iknow01750	夏普(Sharp)：半導體：公司運營：夏普福山半導體
iknow01751	MPEG LA：AVC / H.264標準：標準必要專利(SEPs)：禁售令：德國法院
iknow01752	二維材料：電阻式隨機存取記憶體(RRAM)：低耗能
iknow01753	人工智慧(AI)：語音助理：智慧醫療：
iknow01754	車聯網(V2X)：專用短程通信(DSRC)：C-V2X市場：蜂巢式車聯網：5G
iknow01755	昆蟲感測器：反向散射：農地監控：環境監控
iknow01756	南韓政府：創新學院：法國：École 42學院：AI關鍵人才：人才培訓
iknow01757	偵測手機耗能：應用程式：智慧家庭：照明基材：機器學習：自駕車編程：抗生素抗性
iknow01758	智慧醫院：人工智慧：數位醫療：醫療科技：
iknow01759	過熱蒸氣：光熱轉換：懸掛裝置
iknow01760	數位醫療：移動健康：醫療照護
iknow01761	比特幣：Bitcoin：區塊鏈：Blockchain
iknow01762	南韓：5G智慧工廠聯盟：5G-SFA
iknow01763	南韓政府：OLED設備：高科技管制：核心技術外流
iknow01764	脊髓損傷：神經纖維再生：大麻：藥物管制：帕金森氏症：糖尿病：視網膜病變：機器學習：憂鬱症：疫苗茲卡病毒：登革熱：黃熱病：基因編碼：癌症研究
iknow01765	中國：商標資料庫：免費開放查詢
iknow01766	中國移動：China Mobile：免費開放5G專利標準：5G專利標準
iknow01767	光學成像系統：組織病理檢測：癌症檢測：細胞外囊泡(EV)
iknow01768	南韓總統文在寅：Moon Jae-in：南韓經濟政策
iknow01769	植入式裝置：奈米發電機：體重控制
iknow01770	滴灌：農業灌溉：發射器：節能
iknow01771	機器人系統：無人機：費用支出(Spending)
iknow01772	CES 2019：釩創科技(Phytrex)：智慧家居：Apple HomeKit
iknow01773	高通(Qualcomm)：無線產業(Wireless Industry)：IP授權模式(intellectual property licensing model)：美國聯邦貿易委員會(FTC)
iknow01774	區塊鏈(Blockchain)：串流影片(Streaming Video)：以太坊(Ethereum)
iknow01775	智慧音箱(Smart Speaker)：語音助理(Voice Assistant)：智慧家庭(Smart Home)
iknow01776	虛擬實境(VR)： 適地性虛擬實境(Location-based VR)
iknow01777	臉部辨識(Facial Recognition)：蘋果(Apple)：索尼(Sony)：3D鏡頭感測器(3D Camera Sensor)
iknow01778	賽靈思(Xilinx,Inc.)：ZF ProAI：無人駕駛：AI：汽車控制晶片
iknow01779	蘋果(Apple, Inc.)：5G：2019 CES：中美貿易戰
iknow01780	蘋果(Apple, Inc.)：iPhone：
iknow01781	中國大陸：發明專利
iknow01782	比特幣：Bitcoin：區塊鏈：Blockchain
iknow01783	全球半導體市場：記憶體市場：NandFlash：DRAM
iknow01784	國際半導體產業協會 (SEMI)：半導體市場：中國大陸
iknow01785	美國專利獲證：專利統計
iknow01786	華為(Huawei)：InterDigital：標準必要專利(SEPs)：授權費糾紛
iknow01787	人工光合作用：光電轉換：無碳電力：生物燃料：基因工程：氣候變遷：極端氣候：金屬有機架構(MOF)：碳足跡：無排放能源系統：風力發電
iknow01788	日亞化 (Nichia)：專利侵權：PSS 技術：圖形化藍寶石基板：LED 晶片
iknow01789	非記憶體(non-memory)半導體：三星電子
iknow01790	消費者基因檢測(direct-to-consumer genetic testing：DTC)：南韓：基因檢測
iknow01791	半導體產業(Semiconductor)：2019 CES：繪圖處理器(GPU)：5G：基頻晶片(Baseband：BB)
iknow01792	全球PC出貨量：筆記型電腦：電腦市場
iknow01793	智慧手錶(Smart Watch)：2019 CES：穿戴式裝置(Wearable Device)：醫療保健(Healthcare)
iknow01794	遊戲機(Game Console)：遊戲串流(Game Streaming)：亞馬遜(Amazon)
iknow01795	蘋果(Apple, Inc.)：三星(Samsung)：2019 CES：
iknow01796	5G(fifth-generation)：10G(10 Gbps)：有線電視產業(Cable Industry)：寬頻網路(Broadband Internet)
iknow01797	人工智慧(AI)：機器人(Robotics)：英偉達(NVIDIA)
iknow01798	DARPA：昆蟲大腦：仿生機器人：大腦開發：腦機介面：人工智慧：AI
iknow01799	中國大陸：科技發展規劃：十四五：國家技術預測
iknow01800	太空計畫：衛星發射：福衛衛星
iknow01801	科技趨勢：科技預測
iknow01802	美國專利商標局(USPTO)：專利適格性：subject matter eligibility：專利抽象概念：修訂指南
iknow01803	區塊鏈(Blockchain)：韓國(South Korea)：產業創新政策：研發減稅
iknow01804	AI機器人：機器人玩具：孩童學習
iknow01805	Apple：Qualcomm：專利訴訟：IPR複審：PTAB：490關鍵專利
iknow01806	Sisvel：RPX：Wi-Fi：標準必要專利：授權協議：SEPs
iknow01807	生質量：基因編輯作物：光合作用：光呼吸作用
iknow01808	光療法：濕疹治療：光敏藥物：感覺控制：白細胞介素31：Interleukin-31
iknow01809	高通公司反托拉斯案：蘋果：高通：晶片授權：蘋果供應鏈生態
iknow01810	無線無干擾神經調節裝置(WAND)：神經刺激：大腦起搏器：閉環系統(close-loop system)
iknow01811	超薄氧化鋁：光子奈米結構：砷化鎵：拓撲共振：超薄半導體薄膜：石墨烯：奈米
iknow01812	聲學鑷子：超音波：非接觸式醫療
iknow01813	半導體(Semiconductor)：併購(Mergers and Acquisitions)：
iknow01814	谷歌(Google)：智慧手錶(Smart Watch)：穿戴式裝置(Wearable Device)：Fossil
iknow01815	智慧音箱(Smart Speaker)：語音助理(Voice Assistant)：智慧家庭(Smart Home)：微軟：Cortana
iknow01816	電動車(Electric Vehicle)：無人駕駛車(Self-Driving Car)：
iknow01817	自動駕駛車(Autonomous Car)：無人駕駛車(Self-driving Car)：蘋果(Apple)
iknow01818	車頭燈設計：設計專利：專利侵權：帝寶：現代汽車
iknow01819	智慧音箱(Smart Speaker)：語音助理(Voice Assistant)：車載語音助理(In-Car Voice Assistant)
iknow01820	On-Sale Bar：販售合約構成先前技術：AIA
iknow01821	區塊鏈(Blockchain)：物聯網(IoT)：
iknow01822	CES2019：Google Assistant：語音助理：GOOGLE ASSISTANT CONNECT
iknow01823	光聲耦合：無鉛發光材料：晶片濾波器：光敏色素：光纖光學感測器：近紅外線光譜
iknow01824	美國專利訴訟：訴訟統計：PTAB：IPR複審
iknow01825	首爾市：南韓：振興經濟
iknow01826	移動物聯網(Cellular IoT )：NB-IoT：低功率廣域網(LPWAN)
iknow01827	ASML：EUV
iknow01828	下水道堵塞：下水道囤積物：濕紙巾：汙染
iknow01829	大腦可塑性：SynCAMs：自閉症：憂鬱症
iknow01830	介電泳：細胞外電子傳遞(EET)：微流體晶片：細菌產電
iknow01831	研究募資：研究獎勵機制
iknow01832	華為：5G多模晶片組：5G CPE Pro：5G商用設備
iknow01833	華為：5G基地台：核心晶片：TIANGANG (天罡)：頻譜測試
iknow01834	半導體(Semiconductor)
iknow01835	智慧型手機(Smartphone)：折疊式手機(Foldable Phone)
iknow01836	智慧型手機(Smartphone)：蘋果(Apple, Inc.)：OLED：液晶顯示器(LCD)
iknow01837	華為：5G基地台：核心晶片：TIANGANG (天罡)：頻譜測試
iknow01838	機器人(Robotics)：無人機(Drone)：配送機器人(Delivery Bot：Delivery Robot)
iknow01839	工程光：LED：健康：室內養殖
iknow01840	光動力療法(PDT)：電子轉移：紅外光療法：光融合轉換
iknow01841	南韓：K-City：自駕車測試計畫
iknow01842	疲勞性骨折：穿戴式裝置：壓力感測器
iknow01843	區塊鏈(Blockchain)：區塊鏈錢包(Blockchain Wallet)：加密貨幣錢包(Cryptocurrency Wallet)：三星(Samsung)：智慧型手機(Smartphone)
iknow01844	基因轉殖細菌：益生菌：有毒氨
iknow01845	專利申請：專利統計：發明專利：
iknow01846	智慧喇叭(Smart Speaker)：語音助理(Voice Assistant)：智慧家庭(Smart Home)：亞馬遜(Amazon)：Zigbee
iknow01847	虛擬實境(VR)：擴增實境(AR)：頭戴式裝置(Headset Device)：混合實境(XR)
iknow01848	邊境護衛AI：天文星系掃描：預測治療：貝式網絡：節省燃料：機器學習：超連續光譜
iknow01849	智慧音箱：Smart Speaker：智慧家庭裝置：智慧語音助理
iknow01850	智慧家庭：蘋果：apple：google：amazon：語音助理：亞馬遜：pc：iphone
iknow01851	鴻海：美國製造：美國威斯康辛州投資計畫
iknow01852	半導體產業(Semiconductor)：數據機(Modem)：蘋果(Apple, Inc.)
iknow01853	自動駕駛車(Autonomous Car)：無人駕駛車(Self-driving Car)：亞馬遜(Amazon) 
iknow01854	谷歌(Google)：蘋果(Apple, Inc.)：亞馬遜(Amazon)：臉書(Facebook)
iknow01855	物聯網：5g：行動支付：ai：nokia：iot：人工智慧：區塊鏈
iknow01856	特色領域研究中心：產業結合學術
iknow01857	基礎科學：技術升級：產業與科學
iknow01858	智慧音箱(Smart Speaker)：語音助理(Voice Assistant)：智慧家庭(Smart Home)：蘋果(Apple, Inc.)
iknow01859	電動車(Electric Vehicle)：特斯拉(Tesla)：乾電極(Dry Electrode)
iknow01860	AI 100：新創(Starups)：獨角獸 (Unicorn)：人工智慧 (AI)
iknow01861	人工智慧：AI：American AI Initiative：美國AI倡議
iknow01862	矽谷(Silicon Valley)：矽谷創投信心指數(Silicon Valley Venture Capitalist Confidence Index)：科技產業(Technology Industry)
iknow01863	區塊鏈(Blockchain)：汽車產業(Automotive Industry)：
iknow01864	川普政府：關鍵技術：國家戰略：美國
iknow01865	中國IC：IC自產率：IC製造
iknow01866	比特幣：Bitcoin：區塊鏈：Blockchain
iknow01867	全球8吋晶圓廠：200毫米Fab廠
iknow01868	印度：商用無人機政策：超視線(BVLOS)：無人機通道(drone corridor)：無人飛行系統(UAS)
iknow01869	5G：超可靠低延遲通信：URLLC：物聯網
iknow01870	有機廢棄物：生質燃料：智能技術：可再生能源：生物原油：空氣污染：太陽輻射
iknow01871	美國：IP智慧產權：專利糾紛：專利制度
iknow01872	智慧手錶：免充電：定位追蹤
iknow01873	醫療器材(Medical devices)：產值：
iknow01874	5G：智慧型手機(Smartphone)：中頻頻譜(mid-band spectrum)
iknow01875	AI機器人律師：專利申請：Specifio
iknow01876	Global Foundries：格芯：半導體：晶片
iknow01877	中美貿易戰：半導體：科技政策
iknow01878	半導體(Semiconductor)：晶圓產能(Wafer Capacity)：
iknow01879	英國實施新商標法：脫歐：商標法
iknow01880	智慧型手機(Smartphone)：折疊式手機(Foldable Phone)：蘋果(Apple, Inc.)：平板電腦(Tablet Device)
iknow01881	智慧音箱(Smart Speaker)：語音助理(Voice Assistant)： 智慧電視(Smart TV)：語音商務(voice commerce)
iknow01882	自動駕駛車(Autonomous Car)：無人駕駛車(Self-driving Car)
iknow01883	穿戴式裝置(Wearable Device)：智慧手錶(Smart Watch)：健康醫療(Healthcare)
iknow01884	麻省理工學院(MIT)：藥物膠囊：AI：糖尿病
iknow01885	臉書：Facebook：自主AI晶片
iknow01886	5G多模數據機晶片：數據機晶片：Snapdragon X55：高通(Qualcomm)：聯發科(Mediatek)：曦力Helio M70
iknow01887	Wi-Fi訊號供電：二硫化鉬：蕭特基二極體
iknow01888	人工光合作用系統：溫室氣體減量：光電化學碳移除技術
iknow01889	人工智慧(AI)：深度學習(Deep Learning)：機器學習(Machine Learning)
iknow01890	奈米光柵：心臟感測器：脊柱電刺激：人工卵巢：DNA預測：生物電子醫學：3D生物列印：2型糖尿病
iknow01891	油炸食品：心血管疾病：死亡風險
iknow01892	南韓：中國市場
iknow01893	華為：5G投資：中美貿易戰
iknow01894	私募基金：Brevet Capital：PanOptis：移動專利組合：France Brevets
iknow01895	南韓：生物製藥產業：生技產業政策
iknow01896	南韓：電信政策：5G服務
iknow01897	SK海力士(SK Hynix)：半導體：DRAM：記憶體：半導體群聚
iknow01898	區塊鏈技術(Blockchain)：電信業：CBSG：加值整合服務
iknow01899	半導體(Semiconductor)：蘋果(Apple, Inc.)：ARM：英特爾(Intel)
iknow01900	半導體(Semiconductor)：邏輯IC(Logic IC)：
iknow01901	外銷訂單：
iknow01902	折疊式手機(Foldable Phone)：5G：擴增實境(AR)：混合實境(MR)：人工智慧(AI)：2019 MWC 
iknow01903	賽靈思(Xilinx)： 5G NR商業部署：mmWave：mMIMO
iknow01904	蘋果(Apple, Inc.)：iPhone：折疊式手機(Foldable Phone)：三星(Samsung)
iknow01905	半導體：專利訴訟：AMD：Innovative Foundry Technologies LLC：台積電(TSMC)：高通：聯發科(Mediatek)
iknow01906	自動駕駛車(Autonomous Car)：無人駕駛車(Self-driving Car)：電動車(EV)
iknow01907	獨角獸(Unicorn)：新創公司(Start-up)：
iknow01908	ICT人才培育：人才計畫：科技政策：南韓
iknow01909	亞洲薪酬指南：行業薪酬：人才需求：人才流動
iknow01910	區塊鏈(Blockchain)：加密貨幣(cryptocurrency)：比特幣(Bitcoin)
iknow01911	氫經濟技術路線圖：Hydrogen Economy：氫經濟：氫能源技術開發：南韓科技政策：燃料電池
iknow01912	開放銀行(open banking)：金融科技：南韓：開放支付網路：線上支付
iknow01913	半導體(Semiconductor)：晶圓廠(Wafer Fab)：
iknow01914	智慧型手機(Smartphone)：折疊式手機(Foldable Phone)：摩托羅拉(Motorola)：
iknow01915	智慧音箱(Smart Speaker)：語音助理(Voice Assistant)：
