PG11009-0073	志願服務
PC11006-0162	失智症：輕度認知功能障礙：阿滋海默症：老化
PB11006-0422	線上遊戲：虛擬社群：許諾感：問卷調查：結構方程模式：電子商務：資訊系統
PB11006-0433	智慧旅館：自助報到機：多種證件辨識：少量樣本學習：meta transfer學習：可解釋ai：deep taylor decomposition
PF11006-0295	數位化導向：量表發展：電腦輔助內容分析：多元資料整合：縱貫性研究
PF11006-0296	專業服務機構：家族企業傳承計畫：商業生態：制度邏輯：網絡理論
PB11006-0450	網路爬蟲：深度學習：對話機器人：文字探勘：中文斷詞系統
PB11006-0451	透明聚亞醯胺：高功率脈衝磁控濺射：附著性：銅金屬：軟性基板
PB11006-0452	懸浮微粒：移動污染源：道路實測：微型車載量測系統：排放係數
PF11006-0305	淡新檔案：日治法院檔案：最高法院遷台舊檔：招贅：身分-契約：家庭：傳統：法院：分配分析：法律改革：訴訟
PF11006-0292	食品安全：風險分析：風險管理：成本效益分析
PA11002-0009	單脈衝：超快光譜學：激發探測光譜：兆赫波：相變：二維光譜
PF11002-0006	美國存託憑證：市場敏感性：雙重差分法：重大金融事件：雙重上市adrs：動態調整：修正後資訊共享比例：價格發現：市場效率性：中國etf市場：到期效果：移轉性
PF11002-0007	學術帝國主義：區域研究：亞洲：知識生產的霸權
PE11002-0001	ai（人工智能）：數位科技：宗教研究：ai神：數位神
PB11007-3452	日光燈：三基色螢光粉：鹵磷酸鈣螢光粉：分離：回收：純化：液液抽出法：浸溶
PB11007-3453	生物偵測：溴化阻燃劑：珊瑚：脂質體學：塑膠微粒：鄰苯二甲酸酯
PA11007-1352	第一原理：水分子：層狀材料：電子結構：聲子：超導
PC11007-1682	液態活檢：大腸直腸癌：遠端轉移：外泌體：微小核糖核酸：間質上皮轉化
PB11007-3259	能源消耗：碳排放：環境責任：鄉鎮市區
PE11007-0675	漳州閩南語：福建：台灣：平和：桃園
PF11007-1938	政府支出效果：政府支出乘數：狀態轉換模型：貨幣與財政互動：非線性新凱因斯模型：貨幣融通
PF11007-1808	數位分心：多模態學習分析：後設注意力理論：個人學習環境. 注意力專注：注意力調控：自主學習：機器學習：數位工具正向使用
PD11007-0373	表現量數量性狀基因座：番茄：花柱長度：熱逆境
PD11007-0374	植物寄生性線蟲：深度學習：卷積神經網路：物體定位與分類
PB11007-3267	常壓電漿束：微流體晶片：晶片接合
PE11007-0653	ai人工智慧：自然語言處理：日語教育：日語句型：線上教學輔具
PF11007-1711	民主課責：對角課責：經濟改革：法治：政黨輪替
PF11007-1712	改宗：客觀詮釋學：代際關係：宗教傳遞：家庭訪談
PC11007-1551	糖尿病：大數據：全基因組關聯研究：遺失的遺傳率：台灣人體生物資料庫：英國生物資料庫：奇異值分解法：影像基因學
PE11007-0630	漆器設計：果園廠：布迪厄
PB11007-3068	丹參葉：丹酚酸b：迷迭香酸：視覺功能：視力障礙：視網膜光損傷
PB11007-1949	相控陣列：校準技術：實驗測試平台：波束成形：多天線技術：陣列天線建模：輻射場型
PA11007-0804	磷酸化：組蛋白去乙醯基酶15：細胞週期蛋白依賴激酶2：互作蛋白：蛋白複合體
PB11007-1883	電動車用電池：電池熱管理系統：空氣冷卻：紊流模型：熱晶格波茲曼法：gpu加速：實驗驗證
PA11007-0832	潛在群：功率等級模型：預測能力：禦獲勝邊際功率等級模型
PB11007-1885	計算流體力學：rans：des：高層建築群：季風：地下室風場：行人層風場：風壓負載評估
PE11007-0407	復社：詩經：朱子學：張溥：顧夢麟：黃文煥
PF11007-1094	主管幽默感：員工權力距離導向：主管員工關係：工作績效：員工所認知的規範違反容許程度：破壞性工作行為
PB11007-1809	第一型連續型抽樣計畫：道奇—雷敏選剔檢驗計畫：平均出廠品質界限：消費者風險：二次品質損失函數：規格界限係數：品質投資
PA11007-0789	大氣研究資料庫：觀測資料：服務平台：實驗計畫：data catalog
PC11007-1020	內皮前驅幹細胞條件培養液：慢性缺血性腦損傷：血管新生
PC11007-1019	二矽酸鋰：釔安定四方晶相氧化鋯：全瓷修復體：樹脂黏合劑：預熱複合樹脂：細胞毒性：光照強度：半衰減全反射式傅立葉轉換紅外線光譜分析
PB11007-2110	電腦輔助診技術：深度學習：決策系統：乾眼症診斷方法
PB11007-2003	虛實整合：切削模擬：碰撞偵測：切削力：無憂首件加工：機聯網
PD11007-0256	菊科：薊屬：天然雜交：種化：形態特徵：花粉活性：核型分析：次世代定序：雙重簡化基因組定序：氣候變遷
PF11007-1253	正向心理學團體：青少年心理健康：實務導向研究：團體療效因素
PC11007-1232	genistein：炎症性腸病：奈米微粒：ph-敏感性高分子：多功能奈米載體：藥動學：藥效學：毒理試驗：安定性
PB11007-2039	地下維生管線：新式土壤調查技術：數值分析：模型試驗：土壤改良
PA11007-0902	強場兆赫波：光譜學：拓樸絕緣體：超導氧化物：電荷密度波
PF11007-1285	心率變化：情緒安全：婚姻衝突：焦慮：親職教育
PB11007-2062	動作輔具：solidworks：ansys：數位訊號處理：角度感測器：姿態感測器：適應性控制演算法
PF11007-1297	自閉症：擴增實境：社交互動技巧：自我調節技巧
PB11007-2085	第六代行動通訊：三維異質網路：無人機：低軌衛星：空-天-地整合網路：智慧反射平面：兆赫茲：全域智慧：自我組織：效能優化：干擾管理：資源配置：大規模多天線：波束排程：軌道角動量：用戶偵測：波束訓練：波束追蹤：通道估計：聯合偵測解碼：邊緣運算：邊緣快取
PE11007-0451	朝鮮正祖：丁若鏞：尹廷琦：申綽：成海應
PC11007-1189	共享決策：剖腹產後的陰道分娩：剖腹產：網路互動生產決策輔助
PF11007-1238	支付：現金：信用卡：付款痛苦：妥協效果
PB11007-1995	b5g：三維波束成形：非正交多重存取：網路切片：頻寬分配：深度學習：集成學習：ai特洛伊木馬
PB11007-1996	5g：異質網路：人工智慧：生成對抗性網路：網路流量分類
PF11007-1420	十二年國民基本教育：校長素養導向教學領導：教師素養導向自我效能：教師有效素養導向教學行為
PB11007-2175	離子摻雜氧化鋅：結晶性纖維狀結構：薄膜電晶體：溶凝膠法：反相器
PB11007-2174	數據包絡分析法：減排製程效率：排放權配置：多階層電力市場：納許均衡
PF11007-1335	心理社會安全氣候：工作壓力：自我控制：工作倦怠：組織偏差行為
PB11007-2177	固態氧化物電解電池：共電解：水蒸氣：二氧化碳：功能層：微結構
PB11007-2178	智慧視覺：人工智慧終端裝置：自我學習：神經網路架構搜尋：智慧傳輸
PB11007-2316	esg績效指標：所有權：氣候變遷：流行疾病：財務績效：多層次二次成長模型
PC11007-1293	額葉紋狀體：神經發炎：微膠細胞：星狀膠細胞：多巴胺：膠狀淋巴系統
PB11007-2196	安全驗證：安全規格：正規方法：硬體木馬：穩固度分析：風險評估
PB11007-2197	衛星影像：影像分割：深度學習：卷積神經網路：損失函數：禽舍
PA11007-0974	質譜學：游離技術：基質輔助雷射脫附游離法：離子阱：酵素結合免疫吸附分析法：蛋白質非共價鍵：抗體
PB11007-2222	冷鏈：多艙種：越庫作業：車輛路徑問題：啟發式演算法
PA11007-0958	水稻：冷逆境：poly(a) tail：caf1：post-transcriptional regulation
PB11007-2336	粒子族群演算法：冰水主機負載分配最佳化：冰水主機排程最佳化：空調負載預測
PA11007-0890	無溝谷：大型山崩：光達數值地形模型
PE11007-0465	隱喻：概念隱喻理論：批判隱喻分析：隐喻性蕴涵：新冠肺炎：心靈健康
PC11007-1272	肺癌：ccr3：癌幹細胞：代謝重塑
PB11007-2350	5g new radio：超高可靠低延遲通訊：非授權頻譜：通道預留機制：波束成形天線技術：全雙工無線電：自干擾消除技術：軟體定義無線電
PC11007-1370	withaferin a：癌轉移：非小細胞肺癌：肝癌：結腸癌：wnt /β-catenin途徑：keap1 / nrf2信號途徑：apc
PB11007-2352	醫用超音波：可攜式醫療設備：智慧型決策輔助：特殊應用積體電路：微聲束成型
PB11007-2359	缺陷：卷積神經網路：遷移學習：集成學習：數據擴充：支援向量機
PB11007-2048	被動輻射冷卻：微/奈米階層式：仿生礦化：田口法：適應性類神經模糊推論系統
PB11007-1466	二氧化碳光催化還原：二氧化碳催化：石墨型氮化碳：水凝膠.
PC11007-0737	人體生物監測：新菸鹼類：雙酚類替代品：早期腎損傷：氧化壓力：中介效應：累績風險評估
PC11007-0738	孝順：老化：生物指標：死亡率：人類：縱貫性研究
PF11007-0800	地緣機體：民族主義：越南：南海：中國
PG11007-0073	模型平均法：模型選擇：模型預測
PG11007-0075	泛素化：免疫療法：癌症機轉與治療
PF11007-0921	職業棒球：球迷：混合研究：銘印：認知評估理論
PB11007-1508	互聯描述系統：takagi-sugeno模楜模型：強健模糊控制：比例微分狀態回授：衰退率限制
PC11007-0794	多形性肉瘤：新生抗原：腫瘤突變負荷：代謝重編程：免疫原性：hnrnrp：slc14a1：cullin-3：pd-l1：hla-a：b2m
PE11007-0320	禪門：隨筆集：筆記：禪宗叢林：禪宗史料：宋代：羅湖野錄：叢林盛事：禪林寶訓
PC11007-0943	外傷：公共政策：傷害防治：流行病學：大數據：人工智慧：機器學習：健保資料庫
PF11007-1022	非一般公認會計原則盈餘：ceo薪酬：盈餘項目的分類移轉：風險性投資：揭露透明度
PB11007-1714	磁性穿隧接面：自旋電子：穿隧磁阻：超晶格勢壘
PB11007-1422	液滴撞擊液體表面：超疏水/油固體表面：液滴-液體-固體交互作用：液滴撞擊動力學與機制：飛濺：大液泡：渦環
PB11007-1421	適應濾波器：穩定度：二維無限脈衝響應濾波器：遞迴類神經網路：現場可程式化邏輯閘陣列
PB11007-1442	全釩液流電池：交互滲透：電解液：鈍性離子且隔離膜經改質後因選擇性提高了可降低電解液交互滲透：但電阻也因此提升：導致電性僅微幅提升：且全釩液流經長時間運轉後電解液不平衡的問題仍
PF11007-0892	體制距離：期望落差：冒險傾向：企業行為理論(btof)：新興多國籍企業
PB11007-1446	抗生素敏感性試驗：最小抑菌濃度：表面增強拉曼光譜：微流道系統：微流井：全血處理
PE11007-0329	關鍵字：第三語習得：西班牙語動詞時態詞尾變化：時間副詞：輸入訊息處理：形式與意義之連結：眼球運動
PD11007-0193	癌幹細胞：癌幹細胞特異藥物：作用機制：訊號途徑：癌幹細胞靶向胜肽：嵌合抗原受體
PF11007-0990	主管品格優勢：破壞性領導：個別差異：組織公民行為
PD11007-0201	季節兩型性：性別兩型性：雄性激素受體：雌性激素受體：體細胞性別決定基因：雌雄同體
PB11007-1725	羽球資料收集：自動標記系統：整合型app：精準羽球發球機：智慧球館
PB11007-1726	陰陽離子液胞：傳輸載體：環境應答特性：離子對雙親分子：液胞
PC11007-1150	全基因體的基因表達：生物路徑分析：基因富集分析：基因本體論：生物功能註釋
PF11007-1163	企業社會責任：後設分析：紮根理論：中小企業
PC11007-1165	dock1基因：急性骨髓性白血病：血液生成：白血病生成
PF11007-1205	綠色創新：新產品開發：品牌策略：購買意願
PB11007-1812	深度學習：神經網路：資料前處理：自動擷取特徵：經典深度學習網路：分層式深度學習網路：端對端的虛擬量測：新一代虛擬量測系統：容器化虛擬量測系統：寶特瓶加工：鋁輪圈加工
PC11007-1032	天然代謝物：視網膜黃斑部病變：藍光：視網膜色素上皮層細胞：細胞自噬
PB11007-1762	客戶旅程：啟發式演算法：長短期記憶模型：深度學習
PC11007-1033	痤瘡丙酸桿菌：可塑性奈米微脂體：pterostilbene：生物膜：抗菌活性
PA11007-0763	後修飾核糖體肽：微黴素j25：革蘭氏陰性細菌：抗生素：核醣核酸聚合酶：轉錄抑制：結構生物學：x射線單晶繞射：低溫電子顯微鏡：固相胜肽合成：密度泛函理論計算：分子對接
PC11007-1009	多靶酪氨酸激脢抑制劑：抗血管新生：免疫調節作用：免疫檢查哨阻斷：肝細胞癌
PC11007-1354	阿茲海默症 (ad)：瞬態感受器電位通道ｍ亞家族第八型蛋白（trpm8）：乙型－澱粉樣蛋白（aβ）：神經免疫反應：神經膠質增生
PE11007-0514	成神：成聖：東正教：儒家
PB11007-2301	拋光：機器人自動化拋光系統：人機協同工業機器手臂：工件定位：o2o拋光軌跡規劃：主動式拋光法蘭：拋光品質影像辨識：無人車：信錦集團：壓鑄
PB11007-2302	情感文本生成：維度型情感分析：深度學習
PB11007-2001	低溫共燒陶瓷：微波與毫米波介電材料：5g通訊元件
PB11007-2415	四輪移動機器人：編隊控制：多代理人系統：分布式控制：同態加密演算法：paillier加密演算法
PF11007-1439	世界貿易組織：貨品貿易：服務貿易：服務化：數位貿易
PB11007-2419	斑塊：超快速超音波：高頻超音波：向量都卜勒造影：剪應力造影：脈波傳遞速度造影
PF11007-1469	都市發展：地方創生：沿線開發：社區：地方營造
PB11007-2483	二維奈米材料：波函數
PA11007-1054	操作型流星雷達：電離層散塊e層：陽春型流星雷達：流星尾：福衛七號
PA11007-1124	金奈米團簇：去氧核糖核酸：單分子光譜：結構動態學：螢光生命期相關光譜
PB11007-2634	深度學習：錐狀束電腦斷層掃描：影像分割：三圍立體重構：數位牙科
PB11007-2633	土壤品質指數：土壤品質指標：永續發展：農地種電：重金屬污染：有機農業：地方創生
PF11007-1566	課程多樣性：跨域能力：學習成果：就業競爭力：課程代碼：學科地圖
PF11007-1496	樞扭政治：立法效能：立法過程
PA11007-1078	晶體結構：dna甲基轉移酶：表觀遺傳修飾：藥物開發
PB11007-2535	毫米波：收發機：數位雷達：金氧半製程：調頻連續波：整合被動元件製程
PD11007-0327	酸土逆境：化學遺傳學：嵌合抑制子基因靜默技術：重金屬毒害：營養缺乏：轉錄因子：酵母菌雜合系統
PD11007-0328	架橋澱粉：氧化澱粉：雙修是澱粉：澱粉-黏土奈米複合膜：澱粉-聚乳酸(pla)活性雙層膜：抗氧化：抑菌：檸檬酸：四甲基哌啶氧化物 (tempo)
PD11007-0329	非生物性逆境：離層酸：穀胱甘肽：穀胱甘肽化：水稻
PF11007-1606	食品可及性：市場競爭：便利商店：房價
PC11007-1536	癌細胞相關巨噬細胞：核糖核酸切割酶：巨噬細胞極性
PB11007-2202	毒藥式攻擊：對抗攻擊：知識圖譜推薦：深度強化學習
PF11007-1347	親師合作：師資培育：職能治療：臨床見習
PB11007-2698	極端水文氣候事件：希伯特黃轉換：隨機性：極端事件風險評估：多尺度時空特徵：非穩態及非線性時頻資料
PB11007-2700	行為辨識：深度學習：多層級分類架構
PF11007-1438	日本中小學：少子化：學校統廢合：廢校活用：文部科學省
PB11007-2409	三維形狀修復：三維修復：植入物幾何形狀：深度神經網絡
PB11007-2730	6g 沉浸式數位實境：xr鏡像世界：使用者體驗：行走導向：智慧反射面：網路資源管理：xr暈眩：6g 3d 網路
PC11007-1486	嵌合抗原受體t细胞：心房顫動
PB11007-2780	阻尼顆粒：偏心轉子機構系統：離散元素法：多體動力學：雙向耦合：實驗驗證
PE11007-0603	視點位移：動態圖像：錯視覺：視覺運動
PE11007-0604	侯孝賢：電影美學：互文性：台灣電影：後設電影
PF11007-1595	禪定：注意力：執行控制：抑制控制：停止信號作業：注意力網絡測驗：視覺短期記憶：工作記憶：腦波：心電圖：多尺度熵：本質多尺度熵：心率變異：全息希爾伯特頻譜分析
PB11007-2750	質子傳輸型固態氧化物燃料電池：電解質粉末奈米化：奈米球磨
PB11007-2917	超級電容器：操作穩定性：自摻雜聚苯胺-石墨烯：二硫化鉬(mos2)：三氧化鉬(moo3)：有機/無機材料電化學共沉積
PB11007-2665	數位分身：混合實境：鐵道車輛：行駛安全：狀態式維修
PB11007-2666	同步訊息與電力傳輸：多目標函數：毫米波天線陣列：波束成形：人工智慧：中繼器：位元錯誤率
PB11007-2668	電離層散塊e層：gps電波掩星訊號：福爾摩沙衛星：同相散射雷達
PA11007-1193	自動化：無人操作化學分析：電腦化：食品分析：儀器配置：離子遷移：質譜法：蛋白質構型：原型設計：機械化：樣品處理：單板電腦：皮膚代謝物分析：遠端化學
PA11007-1195	準週期哨模波：電磁波：范艾倫探測器：內磁層：波粒交互作用
PB11007-2829	雷射紋理：奈米結構：液體透鏡陣列：任意圖形
PW11003-0004	人工智慧：內視鏡
PW11003-0037	健保資料庫：電子病歷：共同資料模型：快速健康照護互通資源(fhir)：pacs
PW11003-0042	醫病互動：個人化醫療指引：自動化指標萃取：臨床治療回饋：治療計劃
PW11003-0047	遺傳性聽損：基因體編輯技術：基因轉殖鼠
PW11003-0048	運動：腦機介面：功能性電刺激：中風：腦波：慣性測量。
PW11003-0155	n/a：翻轉教室：翻轉教學：自主學習
PW11003-0113	薑薑黃素衍生物：mth-3：vemurafenib：抗藥性黑色素癌：次世代全基因定序;轉錄因子tfeb：細胞自噬性死亡：細胞凋亡
PW11003-0144	海綿竇血管瘤：出血：癲癇：頑性癲癇：癲癇手術：開顱手術：加馬刀：放射手術
PW11003-0145	組織切片影像分析：深度學習：癌組織偵測：多解析影像融合網路：整合型病理資訊平台
PW11003-0190	動靜脈瘻管：血管新內膜增生：內皮間質轉化：慢性腎病變
PW11003-0223	剖腹產：決策考慮：介入放射學
PW11003-0228	靜脈栓塞：肺栓塞：雙基胜肽酶抑制劑：發炎
PW11003-0229	重覆經顱磁刺激：磁刺激誘發腦電波：近紅外線光譜術：腦中風：失語症
PW11003-0234	憂鬱：腦腸肽：腸道菌：身體組成
PW11003-0243	食道癌：淋巴清除：手術
PW11003-0378	heme：iron：神經發炎：inos：氧化壓力：erk：phosphorylation：初代神經細胞
PW11003-0343	腸道菌叢：高血壓：代謝體學：thiazide類利尿劑
PW11003-0353	住院醫師教師：勝任力為基礎：網路學習：教師培育計劃
PW11003-0355	人工智慧：急性中毒：毒藥物諮詢中心
PW11003-0399	胰臟系膜第三級廓清術：達文西機器手臂：胰十二指腸切除手術
PW11003-0391	慢性腦中風：幹細胞：移植
PW11003-0417	頸動脈狹窄：頭頸癌：放射治療：頸動脈支架置放術：再狹窄：塗藥囊球
PW11003-0421	急性腎損傷：嚴重併腹水的肝硬化：小球/腎小管損傷：慢性腎發炎併腎功能障礙
PW11003-0420	遺傳性運動感覺神經病變：色胺酸t-rna合成酶：t-rna合成酶：半胱胺酸t-rna合成酶：麩胺酸脯胺酸t-rna合成酶：纈胺酸t-rna合成酶
PG11003-0140	環境應答：次微米纖維膜：數位塗佈：特徵值：瑕疵：無縫貼合
PB11006-0037	自組裝：電響應：石墨烯：薄膜分離：壓電材料
PB11006-0170	化學濾網：全尺寸測試系統：潔淨室：氣態分子污染物控制(amc)
PB11006-0185	定量分析：氧化銦鎵鋅：光定址電位感測器：微壓印：神經細胞實驗室晶片：絕緣層上覆矽
PE11001-0075	自治：原住民族：民主：權力分立：基本權利
PF11001-0145	輻射照射：蝴蝶蘭：水苔：文心蘭：火鶴花：有害生物
PE11001-0076	人文沙龍：演講：論壇：工作坊
PA11001-0005	物理：理論物理：國家研究中心
PE11001-0023	清華簡（捌）：攝命：考釋：册命體例
PF11001-0049	科學教育：科學教學：科學教育實務：跨域研究
PF11001-0063	x-ray微影：電子束微影：鄰近效應修正：高深寬比：光罩
PC11001-0014	原癌基因：麩醯胺酸酶：卵巢癌：卡鉑抗藥性：代謝補償
PB11001-0022	多晶矽鰭式電晶體：電阻式記憶體：1t1r架構：記憶邏輯運算
PB11001-0023	控制學門研究發展：人工智慧系統：成果推廣：人才資料庫
PE11001-0045	原住民：原鄉：災後搬遷：土地：農耕：飲食：領域：(再)領域化
PB11001-0053	平流-延散：管柱實驗：數學模式：延散度：遲滯係數：分配係數
PF11001-0106	知識視覺化：認知學習：視覺敘事：科普傳播：使用者參與
PB11001-0065	熱抑制冷卻：五軸工具機：旋轉工作台：可靠度：實驗設計方法：多重物理耦合分析
PB11001-0068	癌症化學預防：長期用藥：資料探勘：癌症偵測
PF11001-0107	結婚：房屋所有權：偏好：性別：家庭型態：居住不正義
PB11001-0069	蝸線傘齒輪：組裝誤差：組裝敏感度：偏擺誤差修正
PB11001-0121	腦中風：機器學習：中風後殘疾路徑
PE11001-0078	文藝復興建築史：文藝復興建築理論：仿古風格：軍事藝術：維特魯威：阿爾貝蒂
PF11001-0146	非接觸式充電平台：無線電力傳輸：對稱半橋諧振轉換器
PA11001-0025	綠色孢子：附生植物：蕨類：獨立配子體：蘿蔓藤蕨科：蘿蔓藤蕨屬：親緣基因體學：系統分類學
PE11001-0107	都會原住民：離散：銜接：編織工藝：文面族群：原民性
PE11001-0095	去殖民：地理學：原住民知識：原住民主體：原住民地理學
PA11001-0028	物種分化：型態分化：天擇：性擇：基因流動：限制酶切的簡化基因組測序：生殖隔離
PE11001-0096	知識社會學：原住民族教育：後殖民論述：論述分析
PF11001-0167	能源轉型：多元族群：輻射教育
PE11001-0097	原住民族知識：原住民族知識課程：原住民族教育
PB11001-0144	鈣鈦礦太陽能電池：鈣鈦礦光伏技術：串聯光伏技術：多接面太陽能電池：全鈣鈦礦多接面光伏技術：鈣鈦礦/鈣鈦礦光伏技術：鈣鈦礦/鈣鈦礦串聯：高能量轉換效率：能隙調整：低能隙：高能隙：晶界：接面：光伏元件：2d/3d鈣鈦礦：錫基底鈣鈦礦：電子傳輸層：電動傳輸層
PB11006-0658	細懸浮微粒 (pm2.5)：發炎反應：呼吸敏感症：兒童智能：脂肪代謝：氣喘
PB11006-0660	智慧機器人：橋樑檢測：智慧感測標籤：物聯網
PC11006-0125	clc-2氯離子通道：cereblon蛋白：萊氏細胞：塞特利氏細胞：無精症：血睪丸屏障
PF11006-0385	亞洲後進國家：台灣：新創：複雜調適系統：渾沌：突圍
PA11006-0044	通量近似法：共振雙曲系統：euler-poisson系統：半導體裝置：電漿物理：自引力流體：非線性平衡律：glimm方案
PB11006-0572	二苯甲酮類：紫外線吸收物質：生態毒性：抑制黑色素
PE11006-0129	讓步：轉折：複句：類型學：認知研究
PB11006-0573	深度學習：強化學習：早期預測：金融科技：時間序列
PF11006-0388	專利檢索：文件分類：專利評價：關鍵辭彙辨識：文字探勘
PF11006-0389	雅斯培：憲政愛國主義：存在主義
PC11006-0137	egfr抑制劑：耐藥性：肺腺癌：pkcdelta：復發肺癌：腫瘤異質性
PB11006-0438	鈉離子電池：第一原理：摻雜：中子繞射：同步輻射
PE11006-0090	臺灣大學圖書館：日文古籍：日文善本：善本書志：宗教：佛教：神道教：書錄
PF11006-0300	第三條路：韌性：社會形塑：網路參與：批判理論：離島：七美
PA11006-0030	香芹酚：包埋技術：抗生素：飼料添加劑
PB11006-0439	框架理論：情緒價性：情緒分析：自然語言處理：機器學習：投資組合建構：全球投資組合：分散化投資組合：新聞媒體
PB11006-0445	淺山生態：有害螞蟻：生態系服務：地景變遷：生態管理：永續農業
PF11006-0365	法治國：具體法秩序：法作為決定：法作為制度：法學思維：人格權威：職務原則：韋伯：卡爾 施密特
PE11006-0098	正宮皇后：也可合敦：冊寶：名號：元代政治史
PE11006-0099	經濟體制：農學知識體系：消費市場需求：自然環境：食物供應鏈：高冷蔬菜
PB11006-0473	pet聚酯纖維：化學回收：異相觸媒：離子液體：磁性回收：孔洞二氧化矽
PB11006-0474	犀角金龜幼蟲：重金屬：有機毒性物質：土壤污染：綠色復育技術
PB11006-0481	拉凡格式法：穿孔式柱狀散熱鰭片：散熱模組
PF11006-0327	方法目的鏈：價值階層圖：層級分析程序法：顧客旅程地圖：服務藍圖：智慧型雲端服務平台：居家照護：長期照護
PB11006-0482	生物可降解式手指關節：3d列印：同軸電紡織：聚己內脂：藥物釋放
PC11006-0117	前瞻性世代研究：非妊娠糖尿病：妊娠糖尿病：懷孕前身體質量指數：懷孕期體重增加：懷孕前身體質量指數合併懷孕期體重增加：第二型糖尿病
PB11006-0509	催化氧化：脫氮反應：臭氧氧化：觸媒：載體
PE11006-0112	移民文學：移動性：物質性：大英帝國：澳洲殖民地
PF11006-0320	一貫道：灰色市場：宗教管制：跨國宗教：華人移民
PE11006-0096	文化景觀：財產關係研究：家屋研究：公共人類學：石板屋文化：布農族
PB11006-0463	半導體元件：晶片系統：次奈米
PF11006-0319	運動科技：人文社會：研討會
PF11006-0321	食品冷鏈系統：農產品包裝：經營績效
PB11006-0464	核殼結構：高指數晶面：骨架型觸媒：葡萄糖氧化反應
PF11006-0354	創業：開放式創新：新創企業與大企業合作：決策
PF11006-0355	文化摩擦：制度差異：治理結構：國際策略聯盟：移民企業
PF11006-0357	身分登記：戶政機關實質審查權：審判權之劃分：戶籍法：扶養義務之減免：戶籍謄本記事欄
PB11006-0468	文字探勘：主題摘要：主題人物互動關係偵測：主題人物互動關係擷取：主題人物互動網絡
PB11006-0469	尾流/鈍體交互作用：衝擊尾流：停滯區渦流：流動控制：鈍體減阻
PA11006-0034	生物時鐘：泛素化調控：泛素連接酶：蛋白質降解：高通量酵母菌雜交篩選
PF11006-0297	節目模式：韓國內容振興院：花漾爺爺：價值鏈：韓國綜藝節目
PF11006-0298	衍生性金融商品非流動度風險：標的資產非流動度風險：買賣價差：結構式向量自我迴歸模型：失真期望值
PC11006-0115	漁業廢棄物：幾丁聚醣：聚氨基甲酸酯：難燃性：溶膠-凝膠法：微膠囊
PB11006-0495	生質碳酸鈣：聚丁二酸丁二醇酯(pbs)：表面改質：牡蠣殼回收：生物可分解複合材料
PF11006-0344	家族治理：尊嚴勞動：人力資源策略：組織績效
PB11006-0427	全像顯示：三維影像顯示：空間光調制器：全像條紋印刷機
PB11006-0428	供應鏈整合：供應鏈彈性：合同製造：產品開發專案：工業4.0：公司財務績效
PB11006-0429	光催化：鈣鈦礦：太陽氫能：密度泛函理論：光反應器
PE11006-0087	疾病：醫療：宗教：數位人文
PB11006-0430	金融科技：智慧治理：開放銀行：企業評價：法規遵循
PG11006-0237	重大職業災害：人因工程檢核：職業安全衛生管理系統
PC11007-1634	口腔黏膜下纖維化：mir-190a：crispr/cas9：klf15
PE11007-0692	時間的空間性 (以俄語時間前置詞в：на為例)
PB11007-3200	邊緣運算：多智能體系統：載具跟隨：編隊互動控制：聽音辨位：麥克風陣列：語音辨識：深度學習
PB11007-3010	高性能同步磁阻馬達：遞迴式切比雪夫模糊類神經網路：適應性互補式滑動模態速度控制：智慧型控制：最大功率因數：弱磁：每伏特最大轉矩
PA11007-1298	二氧化碳還原：流動反應器：薄膜電極組反應器：催化劑：臨場技術
PB11007-3012	土砂運移行為：現地監測：土石流：集水區分析
PF11002-0008	完全問題解決：眼動追蹤：深度學習：長短期記憶神經網路
PB11002-0027	電子期刊聯盟：美國物理學會：美國物理協會：美國光學學會：英國物理學會：美國數學學會：美國工業與應用數學學會：美國化學學會：英國皇家化學學會：美國化學索摘服務社：美國氣象學會：美國地質學會：美國地球物理聯盟：單篇文章購買補助：電子書服務：電子資料庫服務：學習資源中心
PC11002-0009	神經纖維瘤症第一型：神經纖維瘤：nf1基因：腫瘤微環境：神經損傷與發炎
PC11002-0010	老化：switch ring fit：心率變異率：動脈硬化：大腦前額葉血流動力學：鳶尾素：血管內皮功能失調：粒線體動態平衡
PB11002-0028	化學學門：研究計畫審查與規劃
PB11007-2863	智慧車載系統：車載資通訊系統：vr/ar串流：b5g：ai：強化學習：區塊鏈：邊緣計算
PB11007-2859	電腦輔助資料標記：多通道心震圖譜技術：監督式機器學習：特徵點辨識：動態時間規整法
PB11007-2865	底泥：生物可及性：新興污染物：二仁溪：三爺溪：雙酚a：壬基酚：微生物生態
PB11007-3071	肝腎損傷：高糖：高脂：氧化壓力：發炎：細胞凋亡：纖維化：抹草：當藥素：異牡荊素：糖尿病：脂多醣：糖化終產物：脂質代謝異常：內質網壓力：細胞焦亡：細胞自噬
PB11007-3073	標準元件：潛埋式電源軌：鰭背式電晶體：鰭數減少：觸點於主動區上
PD11007-0353	h7n9疫苗：黏膜佐劑：血凝素抗原：神經胺酸酶抗原：噴鼻免疫
PB11007-2924	智慧機場：經濟效益：財務效益
PA11007-1248	相容分數階微分方程：反節點問題：tikhonov正則化方法：sturmian 定理
PB11007-3016	脫鹵球菌：多氯乙烯：蛋白質體：基因體：完全脫氯
