PG10605-0204	冷鏈物流：智慧物流：高運力：供需調度：跨國通路
PF10602-0064	網路線上品牌社群：心理賦權：參與度：價值共創
PB10602-0065	能源國家型科技計畫：地熱：天然氣水合物：主軸計畫：節能減碳
PA10602-0040	脂質：粒線體：酵母菌：人類：巴氏症
PB10602-0226	高功率陣列天線：高功率重疊測試法則
PB10602-0131	地震模擬：坡地災害：模糊專家系統：地理資訊系統：地方防減災策略
PB10602-0163	災害情資：情資整合：決策支援
PC10602-0019	劑量：多葉式準直系統：品質保證：放射治療
PB10602-0075	台灣火山：大屯火山群：即時觀測系統：岩漿庫
PG10603-0232	高壓馬達：運轉狀態監測：故障診斷分析
PG10602-0025	離心式冰水機：冷媒壓縮機：磁浮軸承技術
PG10602-0026	食品標示管理規範：食品標示諮詢服務
PG10602-0047	醫療服務量：醫療產值：醫院財報揭露
PG10602-0055	輸入食品管理法規與措施：食品安全：世界貿易組織：跨太平洋夥伴協定：食品安全檢驗與動植物防疫檢疫措施協定：技術性貿易障礙協定
PG10602-0075	客語：成人語：兒向語：元音：聲學：語言習得
PG10602-0239	行動消費：零售業資通訊科技：多元場域：社群資料分析
PB10602-0113	深海動力載台：迫沈拖體：拉曼散射：表面增強拉曼散射：推擠式採樣器：微生物墊採樣器：機械手臂：海床表層材質：地音參數：直流傳輸：直流電阻技術：電極組：定電流源
PB10602-0025	材料瑕疵：諧振半球殼：平均微擾法：柯氏力：頻率分岔：相位鎖定迴路
PF10602-0039	高齡者：桌上遊戲：生活輔助系統：預防醫學：營養高齡友善介面系統：認知功能訓練
PB10602-0033	先行關鍵資料：災害情資：空間資訊：災害管理
PB10602-0116	第二型態異質接面：超晶格：紅外線偵測器：暗電流：載子生命週期：表面鈍化：高溫操作：偵測度
PF10602-0048	科學探究：話語分析：探究式教學：課室規範
PB10602-0069	無人飛行載具：影像壓縮：視訊壓縮：可見光影像：熱感測影像：物件追蹤與晶片設計
PB10602-0080	災害管理：災害防救：巨量資料：模式發展：圖資展示
PG10606-0032	固碳作用：碳酸化轉爐石：海藻培育系統：海藻礁：海洋牧場
PG10603-0243	實尺寸鋼構屋：火害：修復：混凝土鋼承板
PG10602-0034	嬰兒奶粉：粉狀營養品：液狀營養品：膳食纖維
PG10602-0144	全球定位系統：可降水量：降雨量
PG10602-0215	司法精神鑑定：精神疾病：責任能力：判決結果：一致性
PF10602-0038	使用者創新：高齡社交文化：用藥安全：銀髮運動休閒：睡眠科技：健康照護：信任網絡：商業模式
PC10602-0035	間葉幹細胞：幾丁質薄膜培養：3d 球體：胚胎幹細胞基因：組織工程：mtor
PC10602-0048	鮑氏不動桿菌：醣質疫苗：疫苗開發：醣蛋白：嗜菌體酵素：院內感染
PB10602-0207	高密度聚乙烯管路：有限元素數值模型：破壞模式：可靠度工程：老劣化效應：潛變
PD10602-0007	微流體紙基晶片：微型led 分光系統：微流體紙基檢測系統平台：添加劑
PG10602-0249	客家語：文化特徵詞：語料庫：註解系統：知識分類架構
PG10603-0246	原住民族教育法：學前教育：就學政策：政策評估
PG10603-0248	原住民族教育：高中職教育：就學政策
PG10603-0247	防火：木構造：框組壁式：承重牆
PG10603-0269	客籍業戶：水利秩序：歷史地理資訊系統：環境史：大嵙崁溪：後村圳：桃園大圳：爭水
PG10605-0097	國家發展：美國製造：產業供應鏈：川普時代：前瞻規劃：創新產業：人才培育及延攬：移民政策
PG10601-0370	多元共病：跨專業跨領域照護團隊模式：成本效益
PG10601-0356	倒地蜈蚣：肥胖：糖尿病：脂肪肝
PG10603-0249	多重農藥殘留：氣相層析質譜儀：液相層析質譜儀：容許量：食品安全
PG10607-0056	中藥上藥：腎臟保護：atf3：抗氧化
PG10602-0043	健康食品：非預期反應：自發性通報
PG10602-0042	揮發性有機化合物：重金屬元素：化療藥物：尿液：致癌物：國際癌症研究機構：地溝油
PG10602-0044	中醫臨床技能：中醫客觀性結構型臨床技能考試：中醫師資培訓
PG10602-0219	精神病人：跌倒高危險群評估單：敏感度
PG10602-0268	hedgehog 抑制劑抗癌藥物：小分子藥物：標靶藥物：治療牙周病藥物開發：植物新藥
PG10602-0288	物聯網：深度學習：體感科技：資安：數據分析：工具機
PG10602-0251	客家：客家文學：民間文學：諺語：資料庫
PG10603-0297	多都卜勒雷達風場合成：熱動力反演：對流尺度：短期預報
PG10603-0341	北臺區域運輸模式旅次特性調查：大數據：旅次特性調查
PG10605-0129	組蛋白：去乙醯基酶抑制劑：正子造影劑
PG10601-0375	三聚氰胺：尿路結石：抗氧化酵素
PG10601-0475	雄激素受體：脂肪肝：性別：代謝：肥胖：b型肝炎病毒
PG10601-0376	性腺：荷爾蒙：類固醇
PG10601-0384	神經退化疾病：單株抗體
PG10602-0224	客家電視台：閱聽人：大數據
PG10602-0244	維新傳產：材料加值：製程加值：產品加值：基盤加值
PB10602-0157	滾珠螺桿：極壓：接觸力學：塵擦：廑耗：疲勞：潤滑脂
PB10602-0105	中央與地方政府：災害情資：情資整合與管理：大數據分析：資料探勘：屏東縣
PB10602-0166	除役：緊急應變：緊急計畫：核安
PF10602-0052	學門業務規劃與推動：學門成果發表會：學門整合研究
PG10602-0258	混合車流：交通安全：交通工程
PG10602-0256	全自動微量細胞株生物製程開發平台：高通量蛋白質樣品快速檢驗分析系統：核磁共振光譜儀
PG10603-0300	醫療器材：商品化：人才培訓
PG10603-0312	輪狀病毒：重組病毒株：傳播傳染途徑：流行病學調查
PW10603-0387	兒科重症加護：腸道灌食：胃殘餘量：營養管理準則
PW10603-0388	骶髂關節炎：定量si核醫閃爍造影術
PW10603-0464	能量代謝產物：鎂轉運基因：多部位採樣技術
PW10603-0468	僵直性脊椎炎：運動學：著骨點病變：超音波
PW10603-0469	生理食鹽水滴入：氣管內管抽痰：兒童加護病房：護理人員
PW10603-0475	內限膜剝除治療：玻璃體切除術：視網膜血管斷層掃描儀
PW10603-0433	術中顏面神經監測：腮腺切除：腮腺腫瘤：生活品質
PW10603-0495	色胺酸代謝物：塵蟎：全身性紅斑狼瘡：發炎體活化：免疫發炎反應
PW10603-0486	領導型態：工作投入：破壞性行為：護理人員留任
PW10603-0487	鹼性纖維細胞生長因子：軟骨肉瘤：微小rna：內皮生長因子-c：淋巴管新生
PW10603-0513	泌尿上皮癌：生長抑制：標靶治療
PW10603-0548	布基生醫檢測試片：食品添加物
PG10603-0510	客家農民：地方農特產品產業：新小農理論：彰化二林：農村酒莊
PG10603-0531	廟宇彩繪：保護塗料：疏水：疏油：附著性：可逆性
PG10603-0535	出院準備服務：居家照護：長期照護：整合性居家醫療照護
PG10605-0211	國民健康訪問：全國代表性：橫斷式研究：性別分析
PG10605-0214	材料技術：電池結構設計：效能測試：臨界操作參數：微觀分析：巨觀分析：高溫模式：高電壓模式
PG10603-0364	社群分享：社群化服務：創業育成
PG10603-0255	癌症治療：中醫：日間照護
PG10603-0274	放射性：輻射汙染：緊急應變
PG10602-0280	同鄉會：情感政治：認同：外省客家
PG10512-0238	有害飲酒：強制處遇：團體諮商：毆妻
PC10601-0789	上皮-間質轉化：第一型胞漿素原活化抑制蛋白：肋膜間皮細胞：肺肋膜纖維化：凝血酶
PC10601-0806	注意力：生態效度：虛擬實境：心理計量：常模
PF10601-0071	廚房倫理：企業社會責任：倫理教育：問題導向學習
PF10601-0561	生涯使命感：教師：華人文化：實踐行動
PC10601-0526	血清：尿液：l-kynurenine：大腸直腸癌：偵測：預後
PF10601-0403	經理人過度自信：現金管理：投資機會不確定性
PC10601-1164	心臟衰竭：缺血再灌流：心室心律不整：離子通道：rosuvastatin：piceatannol
PG10512-0157	結核病：潛伏結核感染：預防性治療：基因多型性
PG10512-0101	次世代定序：泛基因體對偶基因資料庫：全基因體多位址序列分型
PB10601-1016	斜向沉積技術：金屬奈米結構：圓二色性光譜：奈米螺旋陣列：超薄吸收體：表面增強拉曼：旋光偏極濾光片
PB10601-0921	地滑：監測：時域反射法：邊坡失穩：非線性動態系統
PB10601-1235	相位頻率誤差補償：快速鎖定：全數位鎖相迴路：動態頻率調整：頻率合成器
PB10601-0534	嵌段共聚物薄膜：氮摻雜：奈米結構碳材：氧還原
PE10601-0081	世界客屬懇親大會：象徵鬥爭：客家價值
PF10601-0755	建構主義：虛擬實境：擴增實境：體驗學習理論：電子商務
PA10601-0637	果蠅：hippo 訊息傳遞路徑：神經發育：感覺器官前細胞：螺旋-環-螺旋蛋白
PC10601-0900	不動桿菌：菌血症：導管：生物膜：抗藥性
PB10601-1490	神經修復：神經生長因子：脂肪幹細胞：細胞片：桿狀病毒：crispr activation
PC10601-0994	細胞膜異位表達atp合成酶：蛋白體學：磷酸化蛋白體學：乙醯化蛋白體學：網路 動態
PB10601-0117	熱電材料：熱壓接合法：硬銲法：奈米銀膠燒結：固液擴散接合法：擴散阻障層：界面反應
PB10601-0841	表面改質：表面潤濕性：超薄/超長熱管：銅編織線：毛細作用
PB10601-1113	平面顯示器：液晶顯示器：薄膜電晶體液晶顯示器：液晶顯示器驅動電路：行驅動電路：有機電發光顯示器：有機電發光顯示器驅動電路：觸控面板控制器電路
PF10601-0542	科學營：科普志工：學習落差
PB10601-0731	全球暖化：二氧化碳：光觸媒：非熱電漿：電漿觸媒
PE10601-0179	九一一事件：歷史小說：真相：創傷記憶：認同：跨國
PB10601-1349	表面電漿光觸媒：侷域表面電漿共振：光催化水分解：太陽氫能：光纖内照明蜂巢載體反應器
PB10601-1222	土地遠距連接：都市空間結構：臺北都會區：空間互動模型：多層空間模型：都市永續性
PA10601-0170	胸苷酸合成酶：癌化：甲基化
PC10601-0715	蟲草素：細胞凋亡：睪丸：萊氏腫瘤細胞：內質網壓力：細胞自噬：抗癌藥物
PG10601-0642	建築能源總量管制：一次能源：envload指標：建築耗電強度
PG10602-0006	全球預報模式：物理參數化：積雲參數化：統合積雲參數化法
PG10601-0641	藥物濫用：職場：教育
PG10603-0168	潮流：發電系統：本土化
PG10601-0098	海馬迴：神經元退化：神經元新生：阿滋海默氏症：開心散
PG10603-0310	抗藥性：人畜共通病原菌：藥物敏感性試驗：次世代全基因定序：巨量資料庫
PG10603-0309	次世代定序：院內感染菌：抗藥基因：致病基因：菌株親緣關係樹
PG10603-0283	人類免疫缺乏病毒第一型：抗藥性
PG10603-0287	新興及再浮現傳染病：生物材料庫：基因序列：本土基因資料庫
PG10603-0301	六堆：文創設計：乙未事件：桌遊
PG10603-0332	衛政：社政：結合：資訊：社區
PG10603-0360	流感病毒：流感疫苗種株
PG10603-0367	抗蛇毒血漿：病毒檢測
PW10603-0479	嗜酸性球：鼻息肉：鼻及鼻竇炎
PW10603-0533	植物性食物過敏症：過敏原：組成份分析檢驗：蛋白質體學
PW10603-0514	肝癌：穀胱甘肽：氧化壓力：抗氧化能力
PW10603-0517	失眠：睡眠障礙：認知功能：失智：功能性近紅外光譜
PW10603-0496	rosi抗藥性：自噬作用：中草藥cm001：非小細胞肺癌：ppar-gama
PG10612-0086	台三線：公共運輸：觀光發展：運輸政策
PG10612-0074	水熱碳化：廢輪胎：汞蒸氣
PG10512-0123	愛滋：歧視：量表
PG10512-0126	台灣地區院內感染監測系統 (tnis)：抗藥性機轉：流行病狀況：抗生素抗藥性：台灣地區多中心抗生素抗藥性監測 (smart)
PG10601-0382	總統創新獎：國家產業創新獎：經濟部產業創新成果頒獎典禮：推動產業創新
PG10603-0043	地熱資源資料庫：地熱流體成像：產能試驗
PG10604-0029	需量反應：量測驗證：用戶基準用電容量：國際節能效果衡量和認證規則：大數據
PG10803-0051	呼吸設備霧化系統：導尿管：玻尿酸植入物
PG10603-0105	空氣品質：船舶自動辨識系統：aermod模式：cmaq模式
PG10603-0275	氣象：環境教育
PG10605-0135	光催化：土壤整治：光觸媒
PG10709-0010	精準醫療：學習型醫療照護系統：國際開發：台灣基因體產業聯盟：亞太生醫矽谷
PG10603-0370	北部客：濁水溪
PG10601-0119	轉型生長因子：沒食子兒茶素：上皮-間質細胞轉化：前列腺癌細胞：轉移
PG10602-0156	活躍老化：衛生政策：老年學：失能：醫療利用與支出：健康餘命：實證公共衛生學：高齡友善環境
PG10602-0155	土地利用與土地覆蓋物：遙感探測技術：地理資訊系統：資料庫
PG10602-0161	兒童健康：健康開始：出生世代：生命歷程：社會環境：非本國出生配偶
PG10602-0312	臨床試驗中心：臨床試驗
PC10601-0094	性取向少數：同性戀：雙性戀：霸凌：性別不順常規：正念減壓
PB10601-0453	卷對卷凹版轉印技術：熱機械分析：接觸角：界面黏著力：内聚力：平行分子動力 學：製程模擬：彎曲測試
PG10603-0125	感性設計：智慧路燈：水五金產業：行為觀察法：代間互動產品：手工具
PA10601-0005	蛋白質與金屬間交互作用：金屬硫蛋白：金屬離子：zn平衡態：蛋白質與核酸間交互作用：磷酸鹽
PE10601-0026	世變：漢代文學：畫像：書體：東漢末期：價值逆反：草書：隱逸：空間政治：死亡文化
PB10601-1033	次世代數據儲存系統：可局域修復碼：重排列碼
PE10601-0309	原住民族生態知識：農地利用：農業發展：社會生態系統：社區支持型農業
PC10601-0132	香草精第一型瞬態電壓感受器陽離子通道：出血性腦中風：細胞凋亡：發炎：神經性發炎
PA10601-0135	砷化鎵奈米線：分子束磊晶：石墨烯：二維半導體材料：太陽能電池
PD10601-0006	注意力缺損過動症：原發性高血壓大鼠：動物模式
PC10601-0609	硫辛酸衍生物(dhl-hiszn)：維他命d3：非酒精性脂肪肝炎：肝臟纖維化：氧化壓力：脂肪生成
PF10601-0744	活動理論：翻轉教室：行動科技支援語言學習：數位遊戲式語言學習
PC10601-0329	金奈米粒子：人類血漿白蛋白：多功能藥物傳遞系統：合併治療：腹腔腫瘤模式
PB10601-0525	油炸油：代謝體學：氧脂素：發炎指標：轉錄體學：人體餵食試驗
PA10601-0264	物種形成：生態物種形成：適應性分化：基因組重定序：島嶼特有種
PB10601-1268	zn2sno4:ti：eu：zno/sno2：粉末：薄膜：異質光觸媒：尿素：溶凝膠法
PF10601-0014	介入方案：職場健康：職場健康文化：組織文化
PF10601-0529	社會企業：社會問題：社會投資報酬：社會衝擊
PC10601-0874	eb 病毒：溶裂複製：最終套膜：蛋白運輸
PA10601-0408	脂蛋白粒子尺寸：膽固醇：心血管疾病風險：晶片電泳：毛細管電層法：電化學分析
PF10601-0815	下定義：圖形與空間：數學概念：幾何
PF10601-0334	食品安全：管制原理原則：國際標準：食品安全衛生管理法：科學證據原則：知的權利：食 品標示及廣告：食品產品責任：管制損益權衡：跨國食品安全管制
PA10601-0359	生長素：植物賀爾蒙：生長素傳輸蛋白：定點突變：3d晶體結構
PB10601-1185	觀測器/卡曼濾波器鑑別法：主動容錯控追蹤：輸入/狀態/輸出限制：數位再 設計：觀測器/控制器鑑別法：最小實現：可觀標準式：可控標準式：補償控制
PC10601-0168	世界衛生組織生活品質：健康人年：生活品質調整後預期壽命：癌症：兒童：青少年
PE10601-0308	社會生態系統：韌性：治理：阿美族：採集與漁獵
PB10601-0687	淹水潛勢：水理模式：序率：聯合機率
PF10601-0669	創客：擴增實境：3d 列印：做中學：昆蟲：國小自然科創意教學
PF10601-0504	行動：病毒式行銷：口碑
PB10601-0954	無線功率傳輸：超穎材料：可控機制
PF10601-0333	極深度價外賣權：公司信用風險：股票報酬率預測：選擇權交易量：選擇權未平倉量
PG10604-0052	兒童健康：世代
PG10603-0212	肝臟移植：肝腫瘤：c型肝炎：分子及放射診斷：腎功能
PG10603-0201	實證照護：實證醫學：考科藍圖書館：實證健康照護決策：知識轉譯
PG10603-0229	用藥資訊：交互作用：衛教資訊
PG10604-0116	國家標準：游離輻射：能力試驗：量測比對：校正服務
PG10603-0223	運輸部門中長程計畫：決策支援系統：整合資料庫
PG10601-0112	微生物：高完整性容器：放射性廢棄物
PG10601-0117	團隊有效溝通：警訊徵象：臨床病人
PG10601-0445	強地動：高密度即時地震網
PW10603-0392	鼻咽癌：新輔助化療：放射治療：eb病毒：定量聚合酶連鎖反應
PW10603-0415	中草藥：惡病質：動物實驗
PW10603-0397	等速肌力訓練：肩旋轉肌修補術：疼痛
PW10603-0423	冷凍治療：腎細胞癌：電腦斷層導引：多切面電腦斷層
PW10603-0403	艾黴素：四環黴素：心臟：自噬：超微結構
PW10603-0535	腎臟癌：化療：牛樟芝
PW10603-0536	椎弓釘：脊椎融合術：近節病變
PW10603-0542	低分子量肝素：細胞穿透胜肽 (cppecp)：嗜酸性白血球：beas-2b
PW10603-0525	紅斑性狼瘡：運動行為：疲憊：生活品質
PG10603-0254	臺灣：新南向：大學合作：大學分類：研究表現
PG10602-0346	智財戰略綱領：專利布局：科技專案計畫：智財政策研析：專利訴訟：專利品質
PG10603-0141	愛滋：篩檢：預防性用藥
PG10701-0437	環境害蟲：監測：感藥性：交互抗藥性
PG10603-0117	定期海運：網路分析：決策支援
PG10603-0375	運動傷害：下背痛：腳踝扭挫傷：中醫日間照護
PG10701-0026	熱煙試驗：煙控：性能設計
PG10603-0522	核電安全：緊急應變：除役：放射性廢棄物管理：核醫藥物：醫材：節能：電漿
PG10602-0162	精神疾病：盛行率：趨勢：全民健保
PG10602-0169	鐵公路：調適資訊平台：調適行動方案
PG10603-0192	出院準備服務：健康狀況：長期照護服務需求
PG10603-0189	雜環芳香胺類：熟食肉類食品：液相層析串聯質譜法：暴露風險評估
PG10512-0131	沙門氏菌：跨物種傳染：多重核酸擴增技術：多位點序列分型法：multilocus sequencing typing (mlst)
PF10601-0915	科普：資訊科學：gps原理：自動駕駛：醫療感測：大數據：人工智慧
PB10601-1445	石墨烯：天然高分子：共軛高分子：雙嵌段高分子：自主裝奈米結構：場效應電晶體：垂直式電晶體：異質介面
PB10601-0527	頸椎脊髓神經病變：本體感覺：頸部多裂肌
PA10601-0716	腫瘤氧氣：電子順磁共振影像系統：中孔洞矽奈米粒子
PC10601-0553	睡眠品質：幼兒傷害：監護程度
PC10601-0342	環境荷爾蒙：巨噬細胞：過敏：氣喘：極化：塑化劑
PF10601-0906	住院醫師教師：里程碑：客觀式結構式教學測驗：縱貫性
PB10601-1407	電漿沉積：表面分析：功能性薄膜：多層膜
PC10601-0429	胰臟神經內分泌瘤：磷酸酯酶與張力蛋白同源物(pten)：抑制哺乳動物雷帕霉素靶蛋白(mtor)
PE10601-0214	近世後期：《詩經》圖：《詩經》圖說：《詩經》詮釋
PF10601-1023	腦磁波：功能性磁振造影：節奏：神經編碼：神經解碼
PC10601-0451	細胞外基質：抗肝纖維化：胞外小體
PC10601-0462	憂鬱症：冠狀動脈疾病：心肌梗塞：魚油
PC10601-0035	nrf2：致癌基因：肝細胞癌：轉殖小鼠
PF10601-0474	資源配置問題：公設方法：策略方法：公平正義原則：分階段一致性：一致性：逆一致性
PC10601-0149	糖尿病腎病變：高血糖：高糖化終產物：二維差異蛋白質體學
PF10601-0597	食農教育：食育：詮釋内容分析法：知識與概念結構：行動研究
PF10601-1097	影子銀行：銀行影子：金融脆弱性一排擠效應：風險吸收效果
PC10601-1120	吞嚥障礙：超音波：中風：鼻咽癌
PB10601-0986	音圈馬達：手機相機模組：自動對焦：光學防手震：光學變焦
PE10601-0275	口語斷詞：聲調語言：閩南語連續變調：移轉機率：人造語言學習
PC10601-0574	中藥：白蘞：抑制黑色素生成：先導藥物：作用機轉
PA10601-0346	颱風：梅雨：極端事件：尺度交互作用：cress模式：台灣
PF10601-1048	社會運動：抗爭行為：公共財：搭便車
PB10601-1566	離岸風電：漁業補償：漁業回饋：雲彰隆起：風場友善漁業空間規劃
PC10601-0459	奈米粒子：内皮細胞：緊密連接：水通道：血腦障壁：胎盤障壁
PE10601-0324	原住民族：部落觀光：文化勞動：性別典範：性別化勞動
PA10601-0118	茉莉酸訊息傳遞：避蔭症狀：fin219/jar1：低r:fr 比值：阿拉伯芥幼苗
PC10601-0086	雌性素受體：黃體素受體：葉酸受體：女性荷爾蒙：葉酸
PC10601-1155	困難梭狀桿菌：環氧合酶：非類固醇性消炎藥：diclofenac
PF10601-1070	安寧療護：靈性關懷：靈性關懷師：靈性關懷能力量表：靈性關懷師教育訓 練成效評估
PG10607-0025	智慧型運輸：交通安全：旅行時間預測：公路安全手冊：iso 39001：irap
PB10601-0278	臨場穿透式電子顯微鏡：成長動力學：液態儲存試片：氧化鐵：氧化鋅：生物藥物反應
PB10601-0926	大規模深層滑動邊坡：地質模式：邊坡破壞機制：併構岩
PA10601-0354	加速衰變試驗：加速trp 模型：最適樣本設計
PA10601-0398	最適設計：查詢策略：逐步變量選擇：停止規則
PC10601-0907	椎間盤退化：環狀纖維細胞：間葉幹細胞：趨化因子：發炎：c-x-c 趨化因子受器：c-x-c 趨化因子
PF10601-0764	社會性科學議題：作決定：品格：通識教育：道德推理：議題導向教學
PF10601-0633	工業4：客製化：物聯網：創新密集服務：醫療器材
PB10601-0086	廢食用油：高溫酯化：甘油回收：生質燃料：循環型生產：系統放大
PB10601-0333	扳機指：腕隧道症：超音波：生物力學：復健介入
PC10601-1014	口腔癌：多原發腫瘤：界域性癌化：外吐小體：發炎
PF10601-0431	快速時尚：全球商品鏈：零售變革：供應鏈：紡織成衣業
PF10601-0745	環境教育人員：認證展延：competency模型：dacum理論：專業發展輔導系統
PG10601-0448	抑制劑－蛋白質激酶－生化途徑－疾病交互作用網絡：新型激酶抑制劑：多標靶激酶抑制劑：副作用：抗藥性：癌症治療
PW10603-0416	安普拉茲封堵器：二尖瓣周漏：經心導管
PW10603-0429	陰道炎：懷孕：生產結果：藥物安全性
PW10603-0507	高遷移率族蛋白-1：nlrp3發炎體：嗜中性白血球胞外捕捉體
PW10603-0488	超疏水：電漿聚合：血液接觸材料：表面改質：生物相容性
PW10603-0550	結核：糖尿病：雙向篩檢：metformin：風險評估
PW10603-0497	甲型醣苷&#37238;抑制劑：糖尿病：僵直性脊椎炎
PW10603-0498	betahistine：th17細胞：類風濕性關節炎：第二型膠原蛋白誘導之關節炎：t細胞分化
PG10602-0355	能源消耗：溫室氣體排放：小貨車：車載污染量測系統
PG10603-0294	病媒病毒傳染病：黃病毒：阿爾發病毒
PG10603-0281	快速鑑定：多重鑑定：性傳染病：共同感染：院感真菌：核酸增幅檢測：流式微珠技術
PG10603-0197	基因改造食品：專業諮詢：教育訓練：公眾溝通
PF10601-0528	鑲嵌關係：依附關係：權力依賴：共同創造：信任
PC10601-0520	內分泌干擾物質：出生世代：兒童神經行為發展
PB10601-0313	分散式擷取：光伏發電：多變數：最大功率點追蹤：太陽能船：最佳化設計：教學套件
PF10601-0514	政治學方法論：模型之經驗意涵：因果推論：貝氏推估：質量並用法
PB10601-0062	金屬/金屬氧化物/孔洞碳材複合材料：新興污染物：還原催化：光催化反應：異相（光輔助）fenton 反應：電容脫鹽
PF10601-0426	政二代：跨層推論：市議員選舉：立法委員選舉
PB10601-0208	物聯網：影像感測器：光訊號感測晶片：低功耗：高動態範圍：深度影像感測：血氧感 測：類比數位轉換器
PA10601-0435	雙重打擊模式：登革病毒套模蛋白：登革病毒非結構性蛋白：自體抗體：血小板低下：巨核細胞
PF10601-0297	社區：社會資本：教育長期追蹤後續調查：轉成人
PC10601-0927	心室：早發性心室收縮：核醣核酸：分生路徑
PB10601-1205	異形管：奈米流體：非牛頓流體：場協同理論
PC10601-1251	α-enolase：白色念珠菌：嗜菌體展現抗體技術：anti-caeno1 igg抗體
PC10601-0281	紫外光：共暴露：皮膚癌：發炎：預防
PC10601-0810	第2型糖尿病：轉換胰島素注射：跨理論模式：介入計畫
PC10601-1018	核磁共振物理：脈衝序列設計：平行影像：影像加速重建法：動態心臟影像：穩定平衡態自由旋進序列：心室體積測量：射血比
PF10601-0811	女性身障運動員：不安定性：傷殘的運動身體：主體能動性：倫理關係：性別認同
PB10601-1443	時間延遲：3d立體視覺：内視鏡手術：绩效：學習效應
PC10601-0517	脂質體學：肺部毒性：生物標記：質譜
PD10601-0029	膨潤土：非離子型界面活性劑：生物毒素：黃麴毒素：伏馬鐮孢毒素
PF10601-0858	護理學生：文化照護能力：課程：核心能力
PB10601-1179	薄膜電晶體：氧化銦鎵鋅：氧化鋅基：晶軸優選取向：微波退火：雷射退火：基板轉移
PA10601-0580	寬能隙半導體：氧化鋅：超快載子動態：激子散射：同調聲學聲子振盪：簡併泵-探 量測：雙色泵-探量測：時間解析螢光譜：受激輻射：隨機雷射
PB10601-0783	三維掃瞄：現況資料：節慶：燈飾：老街：電腦模型建構：建築：都市紋理
PC10601-0348	糖尿病腎病變：溴區結構域蛋白質-4：蛋白質乙醯化：訊息傳遞
PB10601-1278	療癒環境：療癒因子：物理環境：領域權：社會互動：人際距離：系統動力學：決策實驗室分析法：分析網路程序法：偏好結構排序模式
PA10601-0611	材料模擬：密度泛函理論：隨機結構搜尋：地函：礦質：高壓結構
PC10601-0664	aadc 缺乏症：動眼危象：運動困難：基因治療：多巴胺神經元：紋狀體
PB10601-0024	共振機制：記憶合金：彈性模數：阻尼特性：數值模擬分析：奈米即時檢測技術：奈米力-位移力材料學檢測技術
PC10601-0235	認知：平衡：雙重任務：跌倒：中風
PC10601-0645	低強度脈衝式超音波：腎絲球腎炎：急性腎損傷：慢性腎臟病
PC10601-0300	脊髓小腦共濟失調症：sca17：神經退化：神經發炎
PF10601-1111	3d 列印：3d 列印技術導入教學準備度：工程態度量表
PC10601-0294	黏膜相關淋巴組織淋巴癌：胃外：細菌感染：幽門螺旋桿菌：caga：發炎訊息
PC10601-0010	惡性神經膠質瘤：靶向pi3k/ mtor的mj-66衍生物：原位移植瘤小鼠模型
PB10601-0801	地表與地中沉陷：潛盾：隧道：有限元素法：小應變模式
PE10601-0150	性別與多元文化：班級經營：社會變遷
PB10601-1270	直流-交流：三埠式：t-型多階電能轉換器：頻率轉換器
PF10601-0062	正向情緒：節油素養：push service：大學生：雲端
PC10601-0273	檳榔：口腔癌：akrb1b10：訊息傳導：預後
PG10602-0031	排煙風管：排煙室：防火區劃：防火閘門：數值模擬
PG10602-0060	資料整合應用：長期照護：身心障礙：應用模式：衛生與社會福利：資料庫
PG10603-0084	軟體測試自動化：測試即服務：資訊軟體驗證：資安檢測：滲透測試：行動應用軟體測試：行動應用雲端測試平台
PW10603-0441	自體免疫疾病：川崎病
PW10603-0417	光照治療：皮膚科門診
PW10603-0446	早產兒：袋鼠式照護
PW10603-0448	腎細胞癌：多重受體酪胺酸激酶抑制劑：標靶治療
PW10603-0454	黑枸杞：原花青素：脂質過氧化：細胞凋亡
PW10603-0512	帕金森氏症：微正子造影：mptp：simvastatin
PW10603-0515	ccpecp：塵蟎過敏原：氣道細胞
PW10603-0543	紅斑性狼瘡腎炎：鎵-67腎臟造影：單光子射出斷層掃描：腸道鎵-67活性：腎臟穿刺
PW10603-0499	長期使用呼吸器：神經肌肉疾病
PW10603-0526	細胞增生訊號抑制劑：癌症：斥消靈：卓定康：腎移植
PW10603-0552	工作適應狀況：離職率
PG10604-0007	中藥炮製：中藥典：熟地黃：製附子：薑半夏：法半夏：酒當歸：酒川芎
PG10604-0004	國際電工委員會電子零件品質評估制度：中華民國電子零件認證委員會：國際電工委員會：有害物質製程管理：汽車電子品質認證計畫：發光二極體照明：靜電放電：獨立測試試驗室
PG10603-0282	茲卡病毒：西尼羅熱：恙蟲病
PG10603-0284	蜱媒立克次體：無形體症：斑點熱：氣候變遷
PG10601-0524	藥物濫用：巨量分析：高關懷青少年：危險因子：保護因子
PG10602-0013	新穎植物育種技術：稼接生物技術：基因改造食品
PG10602-0015	高齡者智慧環境：高齡者健康環境：智慧環境
PG10602-0022	老人：日間照顧：閒置空間
PG10602-0032	火害破壞力學特徵：非破壞檢測：剪-壓波速比：導波：資料庫：資料探勘
PF10601-1093	個股選擇權：價格發現：訊息份額：委託單流量
PB10601-0376	音洩：壓電材料：微米壓印：磨耗：感測器
PF10601-0112	遊戲式學習：虛擬實境：擴增實境：合作問題解決：自動行為偵測：行為模式分析
