PG10605-0085	嗅覺：嗅覺皮質：梨狀皮質：前額皮質：杏仁核皮質：神經元路徑追蹤：輸出神經元圖譜
PG10501-0145	愛滋：男男間性行為者：匿名篩檢：同志健康服務中心
PG10501-0148	績效評估：評鑑
PG10607-0120	原住民族法規：原住民族傳統習慣：文化抗辯：原住民族
PG10501-0265	職業災害：失能勞動者：重返職場
PG10501-0222	正子放射同位素：調製作業：查核：教育訓練：法規研析
PG10501-0322	存活素：癌細胞：奈米粒子
PG10501-0280	snail：乙醯化：巨噬細胞：發炎小體
PG10501-0016	超臨界流體氧化技術：戴奧辛：五氯酚
PG10501-0134	國際創新連結：重點科技領域：創新體系
PG10601-0142	管理顧問服務業：知識服務：策略聯盟：環境整備：人才養成
PG10508-0017	跨境品保：大學分類：全球移動力：教師薪資
PG10508-0031	智慧電表：通訊遴選：電表設計
PG10601-0149	職業災害：資料探勘：特殊族群
PG10501-0210	國家藥園：白英：黃水茄：鈕仔茄：雙花龍葵
PG10501-0217	法規科學：風險管理：藥品：藥物安全：國際法規協合：技術資料評估
PG10501-0285	醫療科技評估：福利資源：健康政策：成本效益
PG10501-0515	動脈粥狀硬化：內皮細胞：微型核糖核酸：血流剪力：平滑肌細胞：血管狹窄：血管栓塞疾病
PG10501-0163	國家攝食資料庫：國家食物分類系統暨描述系統：健康風險評估：飲食暴露評估
PG10503-0043	無線監測模組：水力力學耦合分析：依時預警系統：淺層崩塌破壞：微機電系統
PG10503-0045	肺癌：低劑量電腦斷層：篩檢：不吸菸：性別議題
PW10503-0332	鼻及鼻竇炎：鼻黏膜：病生理：單核苷酸多型性
PG10503-0323	語法差異：語法調查：四縣：海陸：客語：語法接觸
PG10501-0294	派醋甲酯：兒童、青少年：處方行為
PG10501-0073	教科書：學生習作：教師手冊：教科用書使用：教師專業
PG10501-0045	長期照護機構：醫療機構：社區：多重抗藥性細菌
PG10501-0149	their stories：narratives：phenomenology：life story：the art of social relationship
PG10501-0213	埤塘變遷：產業變遷：土地利用與土地覆蓋物：遙感探測技術：環域分析
PG10501-0274	雲端醫療：電子醫療紀錄交換：醫療資訊系統
PG10501-0278	神經表觀遺傳學：基因組印記
PG10501-0272	腫瘤抑制：後轉譯修飾：pml
PG10501-0424	磁化率：磁振造影
PG10501-0271	詔安客：信仰：祭祀文化：客家學
PW10501-0083	水災風險：脆弱度：淹水潛勢圖
PG10503-0268	臺灣能源工程模型：臺灣永續能源發展模型：能源政策評估
PG10503-0062	潮氣末二氧化碳量測：呼吸無效腔：主流偵測法：呼吸率偵測
PG10501-0595	雲端運算：政府雲端應用：雲端作業系統：運算基礎設施即服務：應用平台即服務：軟體即服務
PW10503-0418	間歇性機械壓迫治療：間歇性跛行
PW10503-0400	安普拉茲動脈導管關閉器：動脈下型：經心導管：心室中膈缺損
PG10503-0333	美濃：南隆農場：輔天五穀宮
PG10505-0053	循環再生：兩段式顆粒床過濾器：雙濾材：壓降：過濾效率
PG10505-0143	高聚光型太陽能系統：水足跡評估：生命週期評估
PG10505-0074	急診室：護理警覺：台灣急診檢傷與急迫度分級量表：病人安全：明智的護理行動
PG10505-0072	防火：木構造：屋頂：樓板
PG10501-0028	臨床試驗中心：人才培育：臨床試驗：自行發起臨床試驗
PG10501-0027	食品安全科技計畫：績效管理：績效評估
PG10501-0156	科學展覽：科學能力
PG10501-0171	節約能源：能源效率：能源政策：能源效率指標
PG10501-0183	hdac6 抑制劑：抗癌藥物研發：臨床前動物實驗：藥效評估：毒理評估
PG10502-0095	癌症篩檢：篩檢率：確診率：罹癌風險
PG10501-0209	客家山歌：美濃：日常生活：實踐：運動形式
PG10501-0194	肝癌細胞：鈣離子傳訊：esculetin：fura-2
PG10501-0464	老化：阿茲海默
PG10501-0276	桐花文學獎：客家人：客家文學：敘事模式
PG10501-0398	多元共病：跨專業跨領域照護團隊模式：成本效益
PG10502-0046	鍾肇政：客家運動：客家菁英：臺灣文學
PG10501-0719	中醫醫療：長期照護：發展模式
PG10501-0718	中原周刊：客家傳播：客家意象：客家文化
PG10501-0283	乙型肝炎：乙型肝炎病毒：鴨子乙型肝炎病毒：共價閉鎖環狀去氧核醣核酸
PW10503-0419	鼻咽癌：遠處轉移：fibronectin
PW10503-0464	k-rxd偵測器：r-rxd偵測器：光譜角度映射：磁振造影像：白質高訊號區域
PG10505-0076	長照服務機構：防火避難安全：自主檢核指南：改善參考手冊
PG10505-0077	超音波：金奈米：輻射增敏
PG10412-0158	嚴重敗血症：院內感染：免疫功能抑制
PG10502-0088	新藥：競爭力：研發決策：優勢醫材：高風險醫材
PG10505-0180	鈣鈦礦：太陽能電池：溶液製程：電子傳輸層：二氧化鈦
PG10501-0087	除役：解除管制：放射性廢棄物處理：減容與安定化：廢棄物特性鑑定：工程障壁
PG10501-0186	抗癌：組蛋白去乙醯酶
PG10502-0082	心理健康促進：網路平台
PG10501-0291	青少年：健康調查：健康行為：性別分析
PG10501-0733	綠色運輸：資料探勘：空間資訊
PG10503-0275	數位教材：耐久性生物組織心臟瓣膜：特殊功能人工水晶體：陶瓷人工髖關節
PG10503-0066	新媒體：能源認知：社會意向：網路調查
PG10503-0321	糖尿病：身體活動：老年症候群
PG10501-0296	親屬與性別：家族史：女性生命史：口說與文字：客家：華南與北臺灣
PG10501-0332	丁基原啡因：孕期暴露：依賴性：戒斷症狀：耐受性：孤兒受體：麩胺酸：藍斑核
PG10501-0329	給藥錯誤：異常通報
PW10503-0423	全身性過敏反應：過敏性休克：藥物過敏：胰蛋白脢：病人安全
PG10412-0179	沙門氏桿菌：曲狀桿菌：致病性大腸桿菌：仙人掌桿菌：諾羅病毒：輪狀病毒：a型肝炎病毒：食媒性病原
PG10501-0231	法規科學：藥品：技術資料評估
PG10501-0238	德國臺灣客家會：離散：客家認同
PG10501-0083	產業科技創新：價值創造：兩岸競合
PG10501-0063	補救教學：補救教學方案：教育公平：弱勢教育：國民小學
PG10501-0175	醫療器材單一識別系統：全球醫療器材命名系統：條碼：醫材管理
PG10501-0528	現地調查：港灣設施：維護管理：防蝕方法
PG10501-0749	台灣：結核病：接觸者：風險
PA10503-0101	貴重儀器共同使用服務：貴重儀器中心
PA10503-0107	先進聲納偵測距離預測系統：水下聲學：混響：地音聲學參數：數值模式
PE10503-0004	文件大展：當代策展：台灣當代藝術策展：文化傳遞-轉譯-變異
PB10503-0205	八輪甲車：兩棲車輛：浮游性能：計算流體力學：有限體積數值法
PB10503-0176	n-[(2-羥基-3-三曱銨)丙基]幾丁聚醣/明膠複合材料：膜片及海棉片傷口敷料：熱敏性 水膠：傷口癒合：異相交聯法：活體外/活體内評估
PA10503-0079	奈米科技：致能科技：顛覆性科技：技術成熟度：m-era：net 歐盟研究計畫平台：亞洲奈米論壇（asia nano forum：anf）：國際標準組織奈米技術委員會（iso/tc229）
PB10503-0329	碳化矽：物理氣相傳輸法：數值模擬
PB10503-0214	電磁閥：故障檢測：機電整合：液壓控制系統：學習能力
PB10503-0272	車窗升降機：車門模組化裝置：整合裝置：構形設計
PB10503-0226	衛星導航：定位裝置：位置追蹤器：gps 差分：監控圖台
PB10503-0299	石墨烯：散熱：摻雜
PG10501-0313	藥品優良臨床試驗規範：gcp查核：藥品生體可用率及生體相等性試驗準則
PG10501-0763	影像信號處理器陣列：電子系統層級：三維積體電路：導通孔：堆疊組裝技術：異質晶片堆疊模組組裝技術：矽中介層
PW10503-0446	基因：神經細胞：發育
PW10503-0426	雄性賀爾蒙：下泌尿道：性腺功能低下症：睪丸切除：rho a/rock 激酶
PW10503-0467	紅斑狼瘡：屋塵蟎：發炎：自體抗原：自體抗體
PG10504-0074	社會福利：兒童：少年
PG10501-0185	智慧製造：智慧服務：研發管理：人才培訓
PM10506-0036	工業廢棄物：資源再生產業：資源再生產品：再利用技術
PG10506-0135	釩液流電池：隔離膜：碳氈電極：氧電漿：表面改質
PG10501-0603	感性設計：代間產品：生活工具：手工具：觀察法：觀察工學
PG10501-0033	奈米科技：奈米食品申請作業指引：含奈米物質的食品器具容器包裝申請作業指引：法規與管理制度：風險評估
PG10501-0050	地震前兆：防災應用：全球衛星系統：井下應變儀：斷層力學：重力：磁力
PG10501-0089	食品安全：科普傳播：新媒體運用
PG10501-0197	安全評估審查導則：場址特性化：坑道處置
PG10501-0374	巴金森氏症：共振
PG10501-0412	生物回饋訓練：任務導向：多指抓握：施力控制：協同模式：中風病人
PG10503-0297	人力供需：隨機過程：馬可夫鏈：癌症篩檢：篩檢
PG10501-0301	心臟纖維化：心臟衰竭：長鏈非編碼核醣核酸
PG10501-0302	客家農民：地方農特產品產業：新小農理論：彰化二林：農村酒莊
PG10501-0361	化粧品：教育訓練：法規諮詢
PG10501-0363	客家產業：文化加值：地方產業：產業文化：家族企業
PG10501-0785	鋼鐵：非鐵金屬：金屬製品：智慧製造：精密機械：半導體
PG10501-0788	管制技術：核能安全：新輻射源項：風險告知：熱水流：非破壞檢測
PG10502-0055	眼科修復醫材技術：射頻熱消融：植物來源藥：膠原蛋白支架技術：藥品製劑設計技術
PB10503-0228	石墨烯：碳奈米管：nbr 橡膠
PB10503-0204	合成孔徑雷達：海面浮標：海面風場：波浪反演
PB10503-0257	三元陰極材料：鋰離子電池：表面修飾：紅外線感應式快速合成：等效電路模擬
PB10503-0216	無人機：模擬環境：穩健：高資料率
PB10503-0285	環境科技：計畫審議
PA10503-0060	主動聲納：被動聲納：音響模擬：水下反潛：背景環境噪音：聲納訊號
PB10503-0265	鎂鋰合金：微弧氧化：抗蝕性：改色
PE10503-0003	鬥毆：外傷治療：破傷風：傷科
PF10503-0049	穿戴式裝置：感測系統：超低電壓：設計環境：應用程式介面
PB10503-0230	浚泥：減容減量：水力漩流：重金屬資源化：化學法：有機污染物
PB10503-0301	永續發展：學門業務：永續科學：永續科學整合平台：國際合作
PG10501-0344	生物技術：藥品：產業：市場：技術：產業資訊
PG10501-0353	健康食品：血管功能
PG10501-0578	維新傳產：材料加值：製程加值：產品加值：基盤加值
PG10501-0450	肝炎病毒：肝纖維
PW10503-0427	減重：動脈硬度; 胰島素阻抗性：matsuda index：代謝症候群; 動脈波傳導速度
PW10503-0471	抗心律不整藥物：心血管重大事件
PG10504-0075	關鍵智財權：第四代行動通訊：國際標準參與：技術貢獻
PG10601-0183	六價鉻：職業衛生：健康自覺症況：暴露危害
PG10504-0107	建築：能源效率：能源模擬：系統控制
PM10506-0049	奈米技術：應用：推廣
PG10501-0170	船舶自動辨識系統：智慧型海洋運輸系統：遠距識別與追蹤：船舶軌跡：交通流量
PG10501-0709	軍品釋商：雷達系統：數位信號處理：創新應用
PG10502-0021	無人載具起發機：無人陸用載具：發射箱：複材結構系統：伸縮囊管：壓力開關：調壓閥：俯仰旋轉器
PG10501-0818	多相微結構：應變增稠流體：熱保暖：太陽光反射：奈米結晶結構：嵌段高分子型分散劑
PA10503-0065	壓力反應：適應障礙症：人格特質：社會支持系統：生物指標
PB10503-0263	防電磁干擾：石墨烯：綠建築：相變化：太陽能：導熱
PB10503-0327	熱浸鍍鋁處理：電漿熔射鋁處理：複合電漿電解氧化陶瓷鍍層：高溫腐蝕
PB10503-0199	高分子：硒吩：碲吩：分子工程：元件工程：太陽能電池
PF10503-0033	嚼檳榔：兒童及青少年：質性研究
PB10503-0276	寵物互動家具：原木家具：設計：新生活型態
PW10503-0449	瑜伽冥想：睡眠：焦慮：憂鬱
PW10503-0428	imiquimod：azithromycin：乾癬：樹突細胞
PG10504-0133	高齡化：都市防災
PG10504-0139	奈米過濾：倒極電透析：流體化床結晶：生物網膜處理技術：前處理：水回收：水再生
PG10504-0148	沸石：脫附：吸附
PG10504-0135	兒童癌症：台灣兒童癌症研究群：聯合治療方案：分子診斷：免疫化學合併療法：臨床試驗：神經母細胞瘤：兒童腦瘤
PG10605-0165	相位陣列收發器：射頻收發器：本地震盪相移：相位陣列自動數位校正
PG10505-0182	山崩潛勢：環境地質：坡地災害警戒雨量：防災整合資訊平台
PM10506-0071	兩岸產業搭橋：兩岸智庫交流：兩岸產業智庫諮詢
PG10503-0004	戰地文化：金門：馬祖：世界遺產
PG10501-0072	數位教科書設計：教育政策：法制面向：智慧財產權：送存平臺：教師數位素養：數學教科書設計：多重表徵
PG10501-0046	課後照顧：政策執行：教育公平：弱勢教育
PG10501-0178	殘留農藥：重金屬：動物用藥
PG10501-0323	核心食品：採買清單：動物用藥：總膳食調查：健康風險評估
PG10502-0230	創業：創業生態：創業政策：科技創業：創業社群
PG10501-0544	客庄傳統市場：客庄傳統市集：市場經營管理：創意市集
PG10501-0619	地方客家行政機關：契約委外：績效
PG10501-0367	多巴胺：中腦：巴金森氏症：精神疾病
PG10502-0058	肌肉痙攣級數：機器學習方法：雷射輔助銑削：高活性合金：真空懸浮熔煉：電磁熱療：深度磁場：中空管形金屬電極
PG10502-0092	節能減碳策略研析：節能輔導與推廣：減量評估模式：能源查核：自願性節能
PG10502-0073	專用貨櫃碼頭：碼頭營運能量：洲際深水碼頭
PB10503-0181	多頻譜影像：超頻譜影像：自動目標識別：影像資料庫：圖形化人機介面：演算法程式庫
PB10503-0191	氫能環境：質子交換膜燃料電池：固態氧化物燃料電池：國際合作：產業化模式與策略
PB10503-0336	行動擴增實境：適地性服務：使用者介面：雲端運算
PB10503-0225	甲殼素：奈米碳管：聚乙烯醇：膨脹石墨：重金屬離子
PF10503-0051	分析師盈餘預測：裁決性應計型盈餘操縱：實質盈餘操縱：投資組合
PB10503-0320	微膠囊相變化材料：太陽光電：與建築一體成型之太陽光電系統：能源
PB10503-0243	頭戴式顯示器：雷射照明：雷射光束整形：光斑抑制：反射式遠程螢光粉
PB10503-0283	前瞻規劃：計晝審議
PA10503-0070	計算流體力學(cfd)：動態移動格點技術：田口直交表：穩健設計：智慧型參數設計：類神經網路－粒子群優化算法
PB10503-0175	資訊融合：資料關聯：貝氏網路
PW10503-0450	空氣污染：芳香烴受體; 異位性皮膚炎
PW10503-0430	蛇形演算法：視網膜：視網膜下積液
PG10505-0253	臺灣中藥典：中華中藥典：中醫
PM10506-0089	金屬產業：金屬基本工業：金屬製品業：扣件業：金屬工具業：表面處理及熱處理業
PG10506-0160	屏蔽：加密
PG10506-0134	覆銲：52m合金：凝固破裂：應力腐蝕破裂
PG10503-0006	節能衫：透氣性：瞬間接觸涼感：涼爽紗：體驗評估
PG10501-0152	食媒性疾病：流行病學調查
PG10501-0099	中藥製劑：指標成分移行率：指標成分標準
PG10501-0318	腫瘤治療：基因治療：醫用核磁共振顯影：間質幹細胞
PG10501-0397	非臨床試驗優良操作規範：品質保證人員
PG10501-0357	性侵害：精斑鑑定：微流道晶片：差異萃取法
PG10501-0771	產業趨勢：市場資訊：技術藍圖：策略規劃：幕僚服務
PG10501-0378	認知復健：功能結果：老人：太極拳：腦創傷
PA10503-0073	履帶甲車：避震器：動態性能：阻尼係數：adams
PB10503-0212	碳/碳複合材料：化學氣相滲透法：緻密化
PB10503-0197	短波長紅外線：swir：偵測器：影像元件：變晶緩衝層：砷化銦鎵：砷化銦鋁
PB10503-0239	熱電模組：金屬玻璃：固液擴散接合：工業廢熱回收
PB10503-0200	雲端計算：應用程式：框架：架構：彈性：延展性：安全性
PB10503-0312	物聯網：損傷評估：地震反應：結構健康監測
PB10503-0311	午後熱對流：aqua/airs衛星資料：溫溼剖面
PG10503-0144	薄膜重組器：電池組：氫氣供應
PW10503-0475	cyclophilin a：糖尿病腎病變：腹膜透析
PG10512-0091	無線充電：國際標準
PG10506-0027	同性伴侶：家庭權：民事伴侶制：收養：同性父母：子女最佳利益
PG10506-0021	放射治療：放射治療品質保證：醫用直線加速器：遙控式後荷近接治療機：電腦斷層治療機：電腦刀：加馬刀
PM10506-0103	食品產業：資通訊技術：食品安全
PG10501-0101	奈米：藥品：醫療器材：諮詢
PG10501-0110	轉譯研究：臨床試驗：生技醫藥：法規諮詢
PG10501-0211	科技專案：計畫管考
PG10501-0461	舊藥新用：乳癌：基因集分析
PG10501-0372	橋基保護工：橋墩沖刷
PG10501-0375	醫療器材：3d列印：法規
PA10503-0096	颱風路徑偏折：位渦趨勢診斷分析：颱風對流結構
PA10503-0104	大腸直腸癌：同藥理蛋白質：多標靶抑制劑和藥物設計
PA10503-0090	農產品安全：土壤有益菌：多源基因體：微生物資材：雙盲檢測
PB10503-0317	高動態範圍：熱影像：無失真壓縮：加密
PB10503-0255	課錄系統：背景建立模型：人物外貌模型
PC10503-0031	轉譯醫學：人類疾病動物模式：全功能體學
PB10503-0260	可靠性：光學膜層：壓克力基板：電漿聚合技術：有機單體前驅物：緩衝層結構
PA10503-0061	混響強度：混響數值模式：散射強度：底床粗糙度：雷射掃瞄系統：水下攝影系統
PC10503-0024	陰道滴蟲：組織蛋白去乙醯酶：組織蛋白質：鐵離子：表徵遺傳調控：訊息傳導
PB10503-0223	軍用防護面具：呼吸生理：氣動力特性：運動功率：濾毒罐
PW10503-0432	急性肺損傷：動物模式：電腦斷層影像：單光子電腦斷層影像
PG10505-0129	血液透析：周邊動脈疾病：遠紅外線：踝肱指數：糖尿病
PG10506-0082	engineering technology：environmental technology
PM10506-0104	醫療電子：醫療器材：法規輔導
PG10412-0235	核電廠：主變壓器：風險評估
PG10501-0053	農藥：殘留：風險評估：進口容許量：農產品
PG10501-0052	貧困率：弱勢：就學支援
PG10501-0117	產業技術白皮書：技術處簡介：網站開發推廣及維護
PG10501-0208	臨床試驗：臺北醫學大學附設醫院：臺北醫學大學：市立萬芳醫院：部立雙和醫院：轉譯醫學
PG10501-0325	基因改造食品：生物安全：諮詢服務中心：風險溝通
PG10501-0451	產業技術：知識：市場情報：產業諮詢：產業用紡織品：衣著用紡織品
PG10501-0491	心腎症候群：原脂蛋白：低密度脂蛋白：膽固醇：膜片箝制：鉀電流
PG10501-0504	客家社團：地緣性社團：華人社團：同鄉會：大埔縣：大埔同鄉會：茶陽會館
PW10501-0082	淹水預警分析：洪水預警分析：降雨預報：水庫狀態填報
PB10503-0315	臺灣紅藜：藜麥：甜菜色素：免疫調節：代謝體學
PA10503-0067	鑽石高壓砧：結構相變：電子轉移：同步輻射光：x 光繞射：x 光吸收光譜：分子軌域計算
PB10503-0196	質量瑕疵：頻率分岔：雷射修裁：特徵向量：陀螺儀
PB10503-0325	超音速燃燒衝壓引擎：方轉橢圓型：三維極音速進氣道：燃燒室：weno 算則
PB10503-0183	軟體定義無線電：自主定位：展頻通訊：現場可程式化閘陣列：韌體
PC10503-0025	頭頸癌：cetuximab：egfr：lymphotoxin-|3：抗藥性
PB10503-0185	大氣海洋地理：大數據：雲端運算
PG10503-0195	有機朗肯循環：螺桿膨脹機：渦輪機
PG10503-0265	二代健保：個人總所得：家戶總所得
PG10504-0190	建構：護理人員：同理心訓練方案：焦點團體訪談
PG10504-0192	思覺失調症：輕度認知障礙：簡易智能評估：蒙特利爾致能測驗
PG10504-0188	彩繪：展色劑：近紅外光光譜儀
PG10504-0193	精神科護理：生理評估：訓練成效
PG10505-0120	工具機：航太加工：複合材料：超音波刀具：複材加工
PG10506-0121	可撓式：透明導電膜
PM10506-0107	體驗經濟：文化創意產業：創意生活產業：顧客完整體驗
PG10412-0215	氣候變遷：水媒自營性原蟲：棘阿米巴原蟲：奈氏阿米巴原蟲：地理資訊系統：親緣地理學理學
PG10501-0054	食媒性疾病：腹瀉
PG10501-0770	體內：放射診療：藥物
PG10501-0794	認證檢驗機構不定期查核：認證檢驗機構能力試驗
PG10501-0531	高血壓：主動脈瘤：遺傳
PG10501-0330	心肌再生：幹細胞：cre-lox 基因轉殖鼠：前列腺素e2
PG10501-0454	casein kinase 1α：p53：wnt：黑色素瘤
PA10503-0074	氣霧式消毒通道：二氧化氯：次氯酸水：鋅系抗菌劑：酒精：消毒劑
PB10503-0339	迫砲車：空間優化：結構減重：有限元素模型：動態響應量測：動態模擬分析：座椅結構
PB10503-0310	穩定系統：有限元素分析：陀螺儀：粒子群最佳化
PB10503-0210	生物防護：高危險性生物致病原：表面增強拉曼散射：奈米金：奈米銀
PB10503-0186	無人飛行載具：層狀給氣轉子引擎：航空燃油：霧化燃燒：計算流體力學
PB10503-0182	收放式起落架：失效行為：公差分析：運動分析：受力分析
PW10503-0394	尿毒症：泌尿上皮癌
PG10504-0204	頻譜需求：頻譜規劃：頻譜管理：頻譜壅塞解決技術：實驗頻譜：頻譜共享
PG10504-0265	藥物成癮：甲基安非他命：美沙冬：政策研究：轉譯醫學
PG10506-0068	客家女性：視覺藝術
PG10506-0102	影像優化：雲端平台：智能優化：色域對映：特徵擷取：資訊交換服務
PM10506-0133	環境足跡：生命週期評估：產品類別規則：物質流成本會計
PG10501-0002	呼吸器依賴：安寧緩和醫療：簽署安寧緩和醫療意願
PG10412-0240	地震：地殼應力：防災：有限元素法
PG10501-0182	多氯戴奧辛/呋喃：戴奧辛類多氯聯苯：背景值：食物：攝入途徑暴露評估
PG10503-0061	斷層滑移量：地震情境模擬：集集地震
PG10503-0292	測試驗證：蝸牛痕：金能獎：產品登錄制度
PG10501-0458	新藥研究：癌症
PG10501-0387	食品安全：輸入食品：國際調和：性別
PG10501-0706	高階量測儀器基礎技術：數位儲存示波器：通訊系統基礎技術：天線：高階繪圖與視訊軟體技術：大型系統軟體技術
PG10502-0134	plga奈米膠囊：腫瘤相關巨噬细胞：er滯留
PG10503-0164	臨床試驗中心：人體試驗：臨床試驗：臨床試驗管理
PG10502-0224	高效率馬達：動力機械：聯盟
PG10502-0204	號墳：風水信仰：墓葬文化：客家：祖先崇拜
PB10503-0211	鎳硼：自潤滑：複合鍍層：磨潤：槍械
PC10503-0029	醣醫學：醣科學：醣類：醣結合蛋白
PA10503-0075	天線雷達罩：拋物面天線：指向誤差：傳輸損失
PB10503-0241	線性滑軌：電鍍：cr-c合金：複合鍍層：耐磨性：耐蝕性
PB10503-0247	水下聲波通訊：水下數據機：深水海域：資料傳輸：定位
PG10503-0122	社會保險：長期照顧：永續經營
PG10503-0114	漢他出血熱：漢他肺症候群：免疫色層分析法：酵素免疫分析法
PG10503-0133	q熱：環型恆溫核酸增幅法
PW10503-0348	膠母細胞瘤幹細胞：膠原蛋白：透明質酸
PW10503-0371	口腔癌：皮瓣手術：疾病認知：社會支持：症狀困擾
PG10504-0077	精進藥事照護：用藥整合服務：社區藥事照護：社區藥事諮詢：居家藥事訪視：機構藥事訪視
PG10505-0078	己二腈：己二胺：丙烯腈：有機電合成：電化學製程：蒸餾
PG10504-0266	奈米安全評估：奈米生技醫藥產業產品
PG10505-0011	固定通訊網路：行動通訊網路：電信資費國際比較：市場主導者不對稱管制：網際網路訊務交換：虛擬行動網路：電路出租市場：無線接取網路共享
PG10604-0145	末期病人：舒適
PG10506-0070	資歷架構：跨境品質保證：高等教育：知識庫
PG10506-0079	壓艙水：國際法制：權益關係人
PM10506-0138	雲端運算：資訊運籌：巨量資料：政府雲產業化：雲端創新服務：使用者介面/體驗
PG10412-0234	腹瀉性病原監測：急性腸胃炎：食媒相關性分析：流行病學調查
PG10412-0249	氯乙烯：現地電解：太陽能：綠色整治：永續整治
PG10412-0242	底泥：16s rrna：次世代定序：生物復育：高雄港
PG10501-0608	情境感知：機器學習：常閉運算：溫度模擬：可摺疊式顯示器：軟性主動矩陣式有機發光二極體顯示器：摺疊式觸控顯示器：卷對卷
PG10501-0338	肌強直型肌肉萎縮症：心臟衰竭：心臟血管疾病
PG10501-0350	客家工藝：六堆客家：手工藝：文化創意產業
PG10505-0142	海峽兩岸醫藥衛生合作協議：醫藥品安全管理及研發工作組：兩岸醫藥品研發合作專案：藥品：醫療器材：健康食品：法規諮詢輔導
PG10502-0214	空氣汙染微粒：上皮細胞：黏附分子：呼吸道疾病
PG10502-0218	呼吸肌力：下肢肌力：呼吸困難與呼吸症狀品質
PG10503-0007	馬祖列島：維護管理程序：維護管理系統
PG10503-0139	客華雙語：教學研究
PG10503-0202	氣候變遷：多重抗藥性微生物：抗生素抗藥性：抗生素管理：感染管制：抗甲氧苯青黴素金黃色葡萄球菌(mrsa)、抗碳青黴烯包氏不動桿菌(crab)：抗萬古黴素腸球菌(vre)、困難梭狀桿菌(cd)
PW10503-0397	股骨轉子間骨折：新設計動態髖骨螺釘：生物力學：有限元素分析
PW10503-0331	器官移植：免疫抑制劑：番瀉鹼
PG10504-0009	小水力電廠：水庫堰壩：灌溉渠道
PG10504-0016	偏極化雷達：定量降雨估計：雨滴譜儀：垂直指向雷達
PG10504-0030	客家：客家作家：客家文學：台灣文學史
PG10505-0049	傳統表演：文化：臺灣：表演團體
PG10506-0104	攝護腺癌：新陳代謝：長鏈非轉譯核糖核酸：核糖核酸：蛋白質：細胞自體類的固醇生成：荷爾蒙治療：生物標誌
PG10506-0105	公共行政：族群事務
PG10506-0125	外銷食品(添加物)英文衛生證明：加工衛生證明：檢驗報告：外銷食品證明線上申報系統：食品添加物管理資訊系統：3.業者自主管理平台系統：4.大型宴席餐廳管理系統
PG10506-0152	家庭照顧者：長期照顧：照顧技巧：持續的陪伴與傾聽：高危險群的照顧者：家庭分工：關懷服務：資源管道
PG10507-0047	老人：營養：營養介入：健康促進
PG10501-0030	孕震構造：地質調查：體波震源逆推法：震源破裂模型：地震震源滑移量分佈：教育延伸
PG10501-0017	二體滑體彈簧模型：黏性效應：相互作用：遷移：混沌
PG10501-0009	波傳效應：地震源：地震網
PG10501-0524	社區能力：能力指標：社區：社區能力建構
PG10412-0151	手部衛生：長期照護機構：感染管制
PG10501-0529	科技法律：研發成果運用：科學技術基本法：智慧聯網：生產力4.0：智慧醫療ict
PG10501-0538	高屏地區：幸福感：客家：老人教育：懷舊課程
PG10508-0065	跨太平洋夥伴協定：食品安全衛生管理法：藥事法：化粧品衛生管理條例
PG10509-0094	建築資訊建模：建築資訊模型：公共工程：作業參考手冊：問卷調查：標竿研習會議
PB10509-0020	高齡者：認知老化：創新設計：認知訓練：使用性
PC10509-0021	高血壓：白血病相關rho 鳥嘌呤核苷酸交換因子：larg 抑制劑：rhoa 抑制劑：預防
PB10509-0080	光學活性化合物：pdlc液晶膜：液晶感測器：布拉格反射：紫外光譜
PB10509-0035	新素養：故事探勘：數位敘說：展集：數位生活
PB10509-0006	臺灣歷史數位圖書館：古契書：時空定位：官有原野：地緣整合分析
PB10509-0051	非球面：微透鏡陣列：準分子雷射加工：無光罩微影機：三維微結構製作
PG10501-0439	抗癌因子：抗癌藥物：轉移：入侵：癌症治療：腫瘤微環境
PG10510-0003	耐震評估技術：減震技術：混凝土構件材料耐久性評估：地盤受震反應分析：廠房結構安全功能評估
PG10511-0015	人工植牙：穩定性：成功率
PG10502-0035	建築防水：使用年限：耐久耐候性能
PG10501-0477	書法治療：精神疾患：系統性回顧
PG10501-0484	藥品查驗登記審查電子化系統：藥品查驗登記電子檔案產生器：藥品電子查驗
PG10501-0738	惡性腦瘤：tdp-43：嵌合抗原受體t細胞：阿茲海默症：低密度脂蛋白：細胞凋亡：激酶抑制劑：免疫檢查點
PG10501-0777	公共廁所：性別友善廁所：性別平等
PG10503-0080	微藻：生質柴油：固碳
PG10501-0746	社會救助：低收入戶：中低收入戶：就業：脫貧
PC10507-0622	塵螨過敏原：肺癌細胞：細胞移動性：上皮間質轉換：移轉：侵襲
PG10502-0063	cde：guidelines for drug review and approval：who
PG10502-0069	車輛：開放式平台：底盤：空間車架：微型電動車：ict產業
PG10502-0132	道路交通安全：資料庫介接架構：巨量資料：交通事故
PG10502-0146	礦產資源：臺灣東北海域：反射震測：熱流：地溫梯度：地體構造：沈積環境
PG10512-0236	直腸癌：放射治療：攝護腺癌
PG10502-0164	基因治療：膀胱癌：溶瘤腺病毒
PG10503-0278	幼兒：0-3歲：語文教具：語文玩具：教具研發：玩具研發
PG10509-0106	社會企業：社會創新：創業：育成
PG10501-0415	腸癌：腸炎：共生菌
PG10502-0026	高齡失智者：友善社區：公共空間：環境設計
