PG10812-0040	戶外教育：活動理論：十二年國民基本教育：校訂課程
PC10807-3278	阿茲海默症：dyrk1a：選擇性抑制劑
PE10807-1858	牟宗三：熊十力：內聖：兩層存有：體用不二
PB10801-2065	短延時強降雨：物聯網：淹水感測器：都市淹水：預警系統
PB10801-1984	人工智慧：邊緣計算：失眠：穿戴式裝置：神經回饋訓練：睡眠分析：睡眠改善
PB10801-2223	次世代定序：特殊應用積體電路：硬體加速演算法
PE10801-0428	客家文化重點發展區：原住民行政區：地方通行語：族群治理
PE10801-0429	婦女保障/性別比例：族群：地方政治：性別政治：交織性
PB10801-1996	黃光微影：分群演算法：深度學習神經網路壓縮：知識管理：先進製程控制
PD10801-0208	廣鹽性硬骨魚：虱目魚：食道：氯離子通道：可體松：去鹽作用
PA10801-0806	活動斷層：古地震：新期構造：地體動力：活動構造地形
PF10801-1242	公允價值：公允價值揭露等級：機構投資者：價值攸關性
PB10801-2081	綠色船舶設計：eedi 船模驗證：船舶系統設計衛星中心：ncku拖航水槽：智慧船舶系統設計
PB10801-2134	建築資訊模型：深度學習：關鍵基礎設施相依性：通道狀態資訊
PF10801-1252	智慧型平台：出版業：語言科技：閱讀教育：適性教育
PB10801-2231	功能性磁振造影：腦磁圖：大數據：厚數據：社會互動：情緒：體現認知：人工智慧：聊天機器人
PB10801-2124	飛航紀錄器：水下搜尋與定位
PB10801-2125	高頻海洋雷達：集成式天線：天線場型量測：無人機：船舶自動識別系統(
PF10801-1249	影響係數：jcr：sjr：ssci：編輯會議
PE10801-0457	原住民：長期照顧：文化照顧：文化轉譯
PG10802-0293	電力工程行業管理：電器承裝業登記管理：檢驗維護業登記管理：電力工程行業技術人員訓練
PG10802-0303	監測系統：傳染病：雲端科技：品管指標
PG10806-0069	合理調整：身心障礙者權利公約
PG10806-0106	電氣：活線作業：裝置
PG10806-0093	工作者：工作壓力：精神疾病：憂鬱症：焦慮症
PG10806-0096	列冊登錄管理：精準醫療分子檢測實驗室：品質管理
PG10810-0008	石化管線檢查：管線劣化：物聯網應用
PC10807-2958	體液鑑定：體液代謝體：液相層析：質譜術：液相層析四極柱飛行時間質譜
PG10803-0100	受刑人：風險管理：個別處遇計劃
PC10807-2963	b型肝炎病毒：核苷酸/核苷抗病毒藥物：腸道菌叢
PB10807-6901	多鐵性陶瓷：織構技術：微波燒結：光伏效應：光伏功率轉換效率
PF10807-4882	美感體驗：野生動物觀光體驗：知覺復癒：環境學習：擁擠知覺
PA10807-3196	x光放射治療：腫瘤缺氧：放射增敏劑：奈米硫化鉍粒子：金奈米簇：tgf-β免疫療法
PC10807-3302	乾癬性關節炎：微核糖核酸：診斷標記：破骨細胞：成骨細胞
PF10807-4595	搜尋模型：流動性：公開市場操作
PC10807-3174	總體基因體學：陰道微生物菌相：胚胎著床：早產
PB10807-6733	光纖入侵感測：麥克森干涉儀：光纖布拉格光柵：單芯光纜
PB10807-6720	氧化錫：奈米粉體：聚苯胺：氧化銅：低工作溫度：高應答：氣體感測器
PB10807-6719	行動位置估測：智慧城市：非直視雜訊：行動追蹤已知路線的目標物：預先處理量測值方法：穩健迴歸：智慧型演算：模糊調制強化型最大可能性估測方法：模糊調制強化型最大可能性估測方法+小腦神經網路
PC10807-3177	冷腫瘤：熱腫瘤：腫瘤免疫：免疫排除：免疫抑制：免疫逃脫：老鼠同源腫瘤模式
PB10807-6765	腕隧道症候群：上皮-間質轉化：滑膜下結締組織：細胞因子：膠原凝膠模型
PA10807-3147	逆高斯過程：非線性輪廓監控：多變量指數加權移動平均管制圖
PB10807-6782	非官方粉絲專頁：價值：信任：社會影響：群體意圖
PB10807-6788	蕭特基二極體：氣體感測器：低溫無電鍍：奈米粒子：催化金屬：氣體選擇性：過氧化氫表面處理
PB10807-6770	足部：拇指外翻：3d列印：輔具：動作分析
PC10807-3228	阻塞型睡眠呼吸中止症：粒線體功能：過氧化物酶體增殖物-共激活受體γ共激活因子1-α：粒線體轉錄因子a和核呼吸因子1和2：氧化壓力：睡眠正壓呼吸器：止鼾牙套：懸雍垂咽顎整形手術：呼出氣冷凝液
PC10807-3238	自噬作用：癌症：dna維護：存活素
PB10807-6785	車載網路卸載：行動邊緣計算：路基台：車上機：間通訊
PC10807-3243	阿茲海默症：深部腦電刺激：擴散磁振造影：邁樂氏基底核：磁振造影相容神經探針晶片
PC10807-3252	分泌型細胞自噬：胰島β細胞：前胸腺素：胰島素釋放
PF10807-4913	方案規劃：高齡教育：特色課程：資源整合：樂齡學習中心
PF10807-4926	實踐型創業教育：開創觀點：創制研究：實踐場域：教師介入：學習者參與
PB10807-6962	永續發展目標：工業4.0：供應鏈管理
PB10807-6674	深度學習：多軸機械手臂：多維度物件辨識：遞迴式學習：增強式學習：物件標記：移動路徑規劃
PC10807-3155	長期重症：發生率：預後：照護環境：費用：趨勢
PF10807-4608	倫理決策：倫理教育：道德行動：道德困擾：擬真
PB10807-6585	綠色消費：市場競爭：再製造：產品生命週期：不確定性：訂價策略
PC10807-3102	秘魯苦蘵：withanolide c：細胞凋亡：細胞自噬：氧化壓力
PA10807-3046	均質化：記憶效應：vlasov-poisson方程式：landau 阻尼：非局部擬線性擴散
PF10807-4833	封閉解公式：多重波動度：變異數風險溢酬：garch：vix期貨
PA10807-3159	正念：專注力：情緒：正念減壓法：腦波：心跳變異率：功能性磁振造影：虛擬實境：深度學習
PF10807-4837	長期照顧：整合照顧：社福驅動整合模式：醫療驅動整合模式：臺中大甲區：臺中中西區：社區整體照顧服務體系
PA10807-3201	經鼻腔投藥：血腦屏障：細胞激素：趨化激素：肺-腦軸：正子斷層攝影
PF10807-4609	股價操縱：單根檢定：拉高倒貨型股價操縱：美國證券交易委員會：訴訟公布：行政訴訟
PD10807-0560	人工浮島：都市滯洪池：都市雨洪管理：生態系服務：生態系為基礎的氣候變遷調適：生態系為基礎的氣候變遷減緩：社會生態生產地景：碳吸存：都市熱導效應：生物多樣性：文化生態系服務
PF10807-4631	門檻共整合模型：不對稱的價格調整：投資人關心度：google搜尋引擎
PF10807-4638	公民審議：集體記憶：地方認同：社區意識：文化分析
PF10807-4639	當沖交易：市場效率性：價格訊息含量
PF10807-4640	股票購回：異常報酬：會計保守性：資訊不對稱：價值攸關性
PF10807-4643	情境式探究論證導向stem教學：stem學習興趣：stem自我效能：stem探究及論證能力
PC10807-3112	bruton酪氨酸蛋白激酶：抗藥性肺癌：btk拮抗劑：細胞凋亡：腦轉移
PC10807-3115	氣候變遷：都市設計：環境行為：熱舒適：風環境
PA10807-3055	尾端固定膜蛋白：後轉譯途徑：綠藻：亞砷酸鹽轉運蛋白：共同轉譯途徑
PF10807-4650	無性別廁所：性別友善校園：性別與空間：跨性別：性少數
PA10807-3064	東亞夏季季風：年代際變化：海溫：西北太平洋副熱帶高壓：不同洋盆：跨洋盆
PC10807-3122	生殖保存：基因轉殖：活體分子影像：再生醫學：生物支架：藥物釋放
PB10807-6627	地震：鐵路：軌道：減災：行車安全：輪軌：縮尺模型
PF10807-4671	競爭策略：組織學習：出口績效
PF10807-4678	國家文化：國家永續發展：國家esg績效：hofstede文化模型：制度理論
PF10807-4688	總經理：自戀：性別：盈餘品質：租稅積極性
PF10807-4689	十二年國教：私人興學自由：受教育權：後期中等教育：學校制度
PF10807-4695	掠奪公司資源：獨立董事：女性公司董事
PB10807-6697	服務化：產品-服務系統：解決方案：商業模式：自行車：工具機
PF10807-4727	貨櫃航運產業：區塊鏈技術：資訊科技導入：創新擴散理論：科技-組織-環境架構
PB10807-6701	since the pi is japanese and cannot write the abstract in chinese at all：please see “keywords in english” below.
PB10807-6700	環境污染：路徑規劃：自動避障：影像處理：演化理論：智慧型系統：衛星定位：自動導航
PA10807-3108	高效能運算：多gpus：衝擊波：非線性聲學：空穴現象
PB10807-6704	液靜壓軸承：液靜壓線性滑軌：可控式節流器
PF10807-4728	最適保險：互惠再保險：風險值：條件風險值：損失限額
PB10807-6651	光催化：光降解：氧化鉍：同質接面：半導體：電化學：相轉換：化學沈澱
PB10807-6958	網路dea：以差額為基礎dea：柏拉圖庫普曼效率
PF10807-4906	制度改變：新制度論：正當化：能源轉型：質性研究
PF10807-4958	兒茶素：鏈脲佐菌素：糖尿病：類憂鬱行為：大鼠
PA10807-3249	氧化石墨烯：電子性質：光學性質：非等方性：磁性：極化
PC10807-3358	放射治療：免疫治療：奈米材料：腦膠質母細胞瘤：癌症治療
PB10807-6996	四輪線控轉向：渾沌控制：carsim：區域網路控制
PF10807-4944	延伸生產者責任：可回收性：減排技術：民營化政策
PE10807-1886	台灣日語學習者：larp at scu：訪談資料：文字化：誤用標記：線上檢索平台
PD10807-0596	新型h7n9流感病毒：血球凝集素：核蛋白：非結構蛋白：單株抗體：單鏈抗體：雙效抗體
PF10807-4969	生命週期模型：最適停止時間：隨機利率：動態最適規劃：消費與投資組合投資
PC10807-3382	五聚蛋白3：菸草醯胺腺嘌呤二核苷酸磷酸鹽氧化物4：抗失巢凋亡：轉移：抗藥性
PA10807-3258	多重孔洞碳材：生物炭：瀝青質：超級電容：電容脫鹽：循環再利用
PE10807-1904	日文系學生：發音焦慮：發音學習動機：發音學習策略：基礎統計
PB10807-7054	彈液動潤滑：孔隙介質：滲透性：擠壓膜：表面粗糙度：偶合應力潤滑液
PC10807-3269	mu鴉片受體：變異體：選擇性剪接：嗎啡：疼痛：止痛
PB10801-2005	超合金：單晶鑄造：熱處理：微觀組織：潛變實驗
PB10801-2007	農業科技前瞻規劃：國際趨勢掃描：策略規劃：科技計畫管理：滾動式管考：潛力亮點篩選：關鍵技術盤點：研發成果多元露出：成果推廣
PA10801-0791	立方衛星：電力推進系統：脈衝電漿推進器：陰極電弧推進器：電漿特性：三探針式蘭牟爾探針：光譜分析儀：影像感測器：微推力量測
PB10801-1995	八輪戰砲車：概念設計：車體結構剛性與強度：有限元素模型：結構動態響應：抗彈模擬
PB10801-2228	穩態供電電流測試：機器學習：漏電流分析
PC10801-1292	益生菌：益生質/選擇性發酵元：微生物組體：皮膚：腸胃道
PA10801-0827	岸基高頻雷達：海表面風：資料同化方案：最佳化內插方法：物理空間統計分析系統：艾克曼螺旋理論
PA10801-0807	資料浮標：水聽器陣列：時間反轉法：聲源定位：即時回傳
PA10801-0808	視覺：感覺驅動：體色多樣性：辨色能力：同質化
PB10801-2075	測試平台：系統效率：功率分析儀：電流量測系統
PF10801-1254	生活品質：創傷後成長：變化軌跡：大腸直腸癌
PF10801-1257	審計效率：會計師個人層級：事務所合併：社會辨識度：政治關聯：會計師產業專家：審計市場：中國
PB10801-2235	ai：人文與社會：控制與自主：社會公平：利害關係人：法律與規範：道德挑戰：網路資訊傳播：教育學習：人資與勞動替代：科技的倫理規範
PE10801-0454	臺灣客庄：族群意識：族群政治：族群邊界：族群變遷：族群認同
PG10803-0025	雲端機房：液化天然氣：資訊機房：台電：冠呈：綠能：智慧電網：需量反應
PG10806-0097	聯網健康：感測器：雲端服務：物聯網：大數據
PG10811-0204	護理人員：工作時間
PG10806-0098	化粧品產品登錄平台系統：108年度「化粧品產品登錄平台系統」功能擴充案：108年度：108年度化粧品產品登錄平台系統功能擴充案
PG10807-0037	輔助服務：需量反應：儲能
PF10807-4404	歐元：虛擬貨幣：金融科技：國際貨幣體系：全球金融秩序：國際商業交易：法律法規
PF10807-4418	來源吸引性：內容滿足理論：擬社會互動：名人真實性：名人產品一致性
PC10807-2964	口腔癌：體突變：次世代基因定序：循環游離去氧核醣核酸：血漿：標靶治療
PC10807-3075	非小細胞肺癌：細胞老化：核纖層蛋白a：腫瘤微環境
PC10807-3074	中風：健康相關生活品質：電腦適性測驗：心理計量特性
PF10807-4601	輔具：輔具服務：醫療模式：生物心理社會模式：障礙模式
PC10807-3178	b細胞：pten腫瘤抑制基因：th17細胞：發炎反應
PE10807-1813	《使女的故事》：跨媒體研究：電影與電視改編：語內：語際：符際翻譯研究
PD10807-0571	紫錐花：奈米包覆：糖尿病：骨關節炎：脛骨創傷誘導
PC10807-3198	心房顫動：睡眠障礙：日夜節律：生理時鐘基因：心臟再重塑：表觀基因調控：微小核糖核酸
PC10807-3205	人工耳蝸：電極及電場：天竺鼠之動物模型：豬隻之動物模型：全聾：高頻聽損
PE10807-1823	台南市：釋教壇：喪葬拔渡法事
PB10807-6754	船舶螺槳：基準實驗：pptc：螺槳單獨試驗：空化影像拍攝：空化發生機率
PF10807-4785	青少年過早初次性行為：青少年初次性行為年齡：成年心理健康：成年抽菸喝酒行為：動態影響模組
PB10807-6791	都市地理：環境差異：住宅用電：追蹤資料
PF10807-4801	從眾：基本面資訊：非基本面資訊：股市資訊內涵：股票報酬同步性：資通訊科技
PF10807-4780	工會：不當勞動行為：不利益待遇：支配介入：拒絕團體協商：裁決
PB10807-6811	資料探勘：聚集經濟：都市歧異度：外部效果：共享財貨
PF10807-4818	比特幣：極端風險：報酬預測：波動率預測
PC10807-3360	兒少肥胖：基因：飲食行為：汙名：心理健康：孟德爾隨機分析
PB10807-6940	偽造：鑑識：生成對抗網路
PA10807-3240	組蛋白乙醯化：離層酸：表觀遺傳學
PB10807-6991	超音波影像：肌力檢測器：3-d 影像處理：肌少症：老化與肌肉密度：自動化控制系統
PB10807-6680	帶通濾波器：d頻帶：濾波型功率分配器：耦合器：功率分配/結合器
PC10807-3143	牙周病：porphyromonas gingivalis：缺血性中風：益生菌：糞便移植
PE10807-1775	地獄：冥府：審判：傳教文本：證道
PF10807-4615	自結損益：會計師損益查核數：盈餘反應係數：盈餘品質：審計委員會：自願性揭露
PA10807-3049	軌道角動量：光學渦旋：渦旋雷射：混沌動力學：混沌雷射：q-開關雷射：鎖模雷射：離軸共振模態：超快渦旋脈衝
PA10807-3042	間斷分布：竹柏複合群：竹柏：南港竹柏：港口竹柏：親緣地理：族群遺傳：遷移矩陣模型假說：適應性輻射演化假說
PF10807-4813	國際公法：國際法人格與承認：領域主權：海洋法：環境與自然資源：國際交易：國家管轄：國籍及相關概念：國家責任法：個人及團體之保護：爭端解決
PB10807-6815	災害應變：緊急管理：臺灣防救災系統
PF10807-4845	制度化：制度失能：歐盟共同移民政策：歐洲移民議程：民粹主義：政治民粹化
PE10807-1786	1930年代：中日戰爭：現代主義詩歌：美學轉向
PF10807-4648	模組化建築：木構造：低碳建築：全生命週期：節能減碳：碳足跡
PA10807-3059	port 哈米爾頓系統：模型修正：模型簡化
PB10807-6603	立體視覺：感測器融合：路面資訊重建：地形圖：數值高度模型
PE10807-1787	木偶奇遇記：徐調孚：雙重源文：轉譯史：意識形態
PF10807-4657	租稅風險：租稅規避：經理能力
PF10807-4664	信度：效度：儲訓校長：評分規準：數位檔案評量
PE10807-1792	融合方法研究：雙語課程閱讀動機：雙語課程之投入度：我國中學生英文摘要寫作：未來課程選擇：結構方程模式
PF10807-4669	生成對抗網路：科技成癮：深度學習：早期科技成癮症狀偵測模型：個人化科技成癮症狀偵測模型
PC10807-3127	有氧運動：肌肉收縮：老化
PA10807-3073	複合變量：偽發現率：多變數篩選：線性迴歸：部份垂直：超高維度
PC10807-3124	慢性肺阻塞：慢性腎臟病：內皮細胞傷害
PB10807-6648	碘化鉛銫鈣鈦礦結構：量子點太陽電池：金奈米粒子：金核殼氧化鈦：複合式電極：局域表面電漿共振
PC10807-3126	氣候變遷：災害：都市：韌性：脆弱性：風險認知：調適
PF10807-4699	區塊鏈：rpg遊戲：3d動漫畫教材：電腦科學素養
PB10807-6708	次世代定序：全外顯子組定序：基因變異識別：人工智慧：生物資訊平台
PA10807-3115	計量模式建構：資料受限方法：模式運作評估：適正漁獲量推估：台灣東部：漁業資源
PB10807-12755	pet-co-pen嵌段共聚酯纖維：結晶結構：結晶形態：拉伸破壞機制
PB10807-6924	碳足跡：網宇實體系統：物聯網：區塊鏈：智能合約
PF10807-4697	生活情境：教材：國小：量與實測
PE10807-1798	尚書：書經：法國：耶穌會：宋君榮：蔣友仁：法國國家圖書館：翻譯：抄本
PE10807-1890	孔子：欲望：正欲：正名：符號：異化：權威
PB10807-6946	匹配式補償：組配誤差：誤差補償：機上量測
PC10807-3356	慢性阻塞性肺疾：纖維細胞：低血氧：氧化壓力：肺動脈高壓：內皮素-1：間白素-8：血管內皮生長因子：金屬蛋白酶-17：表皮生長因子受體：缺氧誘導因子-1α：結締組織生長因子
PC10807-3373	茲卡病毒：致病機轉：自體免疫：神經病變
PA10807-3242	理論生態學：數理模型：群聚動態：物種共存：互利共生：植物-動物交互作用：傳粉：種子傳播：菌根菌：生活史：階段結構：由發育成長生態位轉移
PF10807-4907	中國大陸入會議定書：非市場經濟地位：替代第三國計算方法：舉證責任之轉換：嚴重市場扭曲
PF10807-4922	社會團體工作：專業養成：專業發展
PB10807-7008	虛擬實境：動暈症：臨場感：移動控制：視域呈現：步態分析：沉浸：使用者體驗
PA10807-3233	鋰離子電池：黏結劑：自由基：導電高分子
PC10807-3374	精氨酸耗盡：ass：adi-peg：癌症治療：dna疫苗
PF10807-4959	非傳統貨幣政策：融資流動性：流動性限制
PA10807-3251	甲烷：嗜甲烷菌：銅金屬重建：蛋白質交互作用
PB10807-7016	甲硫嗎唑：甲硫胺酸：細胞增生：膠原蛋白：傷口組織癒合
PB10807-7019	雷射無線電力傳輸：聚光型太陽能系統：熱電效應發電機：動態接線重組：水下無人載具
PB10807-7023	氣候因應設計：城市通風環境評估：社區規劃設計：計算流體力學：設計準則
PB10807-7039	廢棄物：電池：濕式冶煉：資源：回收：再生：金屬
PF10807-4903	stem：台灣stem教育：評鑑：回應式評鑑
PF10807-4904	人工智慧策略：績效：整合分析：現象學方法：模糊質化分析
PG10806-0150	太陽光電：設置評估
PG10807-0016	臺北市立圖書館：滿意度調查：公共圖書館
PB10807-6834	六價鐵：高鐵酸鉀：光電化學：三氯乙烯
PF10807-4854	線上學習：自我調節學習理論：學習參與：網路成癮：智慧教育
PF10801-1239	資料庫：資料分析：中文法律語言處理：深度學習：人工智慧
PB10801-2025	多晶矽鰭式電晶體：電阻式記憶體：1t1r架構：記憶邏輯運算
PG10801-0553	教學訪問教師計畫：偏遠地區學校教育發展條例：教師增能：教師異動制度
PB10801-2015	碳化矽：高電壓：雙載子元件：模擬
PB10801-2034	電磁軌道砲：電樞：無電鍍：導電纖維：表面：磨損
PE10801-0416	運算思維：文化回應課程：原住民學生
PE10801-0417	原住民族：文化照顧準則：長期照顧：文化合適性
PB10801-2079	地震：災害衝擊：網格化：情境模擬：防災規劃
PA10801-0812	生醫材料：表面工程：生物摩擦潤滑：產學聯盟
PB10801-2094	無線電力傳輸系統：迴圈天線：序列旋轉饋入網路：磁共振：無人飛行載具
PB10801-2076	午後熱對流：光達剖風儀：探空觀測：再分析資料
PB10801-2219	災情志工：資源媒合：究平安：災情蒐集
PF10801-1266	跨域治理：永續發展：地方創生
PF10801-1260	網路金融創新：信用風險：信用評價：財務計量：機器人理財：波動風險：保險科技：資訊安全：區塊鏈
PA10801-0841	南海：內孤立波：水文：海洋聲學
PC10801-1306	前列腺癌：polq：轉移：抗賀爾蒙雄激素阻斷法：去勢抗性前列腺癌
PG10802-0331	樟芝萃取物：肝纖維化：蛋白激酶
PG10806-0144	職業促發腦心血管疾病：過勞防治法規：過勞預防對策與預防措施
PC10807-2946	縱向通風：點排通風：隧道火災：臨界風速：固定式水系統滅火設備：人命安全條件
PB10807-6382	汽車室內空氣品質：空調耗能：二氧化碳濃度：汙染物顆粒濃度
PB10807-6414	深度學習：快速公路：你只看一次版本3：單擊多箱偵測器：車輛偵測：車輛分類：車輛計數：車速估測
PB10807-6894	二氧化碳：固定床：室內空氣品質：物理吸附：固體吸附劑：碳捕獲與再利用
PG10807-0074	國內旅遊：出國旅遊
PE10807-1816	雙語教育：學科與語言整合教學：專業知能：師資教育：教師知識
PB10807-6732	自蔓延燃燒合成：鋁熱反應：ptfe促發：化學爐輔助：三元系統：複合材料
PB10807-6717	甘油：異相觸媒：孔洞型觸媒：澱粉改質：酯化反應：醚化反應：乙酰化反應：縮酮反應
PB10807-6744	微波：酯化：反應動力學與平衡：反應蒸餾
PF10807-4766	大學社會責任實踐：遠征式學習：創新教學準備度：自我導向學習準備度
PA10807-3142	混獲：分類與廻歸樹：覓食行為：延繩釣漁業：海鳥：海鳥群聚：東南大西洋
PE10807-1832	神經衰弱：精神科學：醫學史：科學史：科技研究
PC10807-3235	動脈粥狀硬化：心血管疾病：慢性腎臟病：鄰苯二甲酸二(2-乙基己基)酯：一氧化氮合成酶：一氧化氮：腎素-血管張力素-醛固酮系統：第一型香草精瞬態電壓感受器
PC10807-3250	周邊神經損傷：雷帕黴素：自噬作用：神經導管
PC10807-3245	oxaliplatin：過敏反應：嗜鹼性球活化試驗：免疫球蛋白受體
PA10807-3226	磁電漿奈米粒子：生醫晶片：磁光效應：法拉第效應：阿茲海默症：癌症
PC10807-3350	膽道癌：腸道微生物：肝癌：免疫發炎因子：腸道通透性：術後復發
PB10807-6941	金氧半穿隧二極體：超薄氧化層：耦合效應：同心圓環電極：邊際電場：tcad模擬：環境光感應：低功耗：高靈敏度
PA10807-3094	不對稱反應：骨牌式：單瓶化：化學轉化：有機合成
PD10807-0563	水稻田：土壤生物：生物多樣性網路：生態系服務：功能多樣性
PC10807-3096	肝癌：標靶藥物：全身化學藥物治療：免疫療法：腫瘤幹細胞：colchicine：sorafenib：epirubicin：lenvatinib：regorafenib
PF10807-4625	試題反應理論：表現下降：非隨機遺漏值：多向度試題反應理論：高階試題反應理論：認知診斷模式：g-dina模型：樹狀模式
PB10807-6581	指數分配：壽命績效指標：三角形態模糊數：模糊檢定
PF10807-4825	區塊鏈：公司治理：交易成本：代理成本：加密貨幣：去中心化：去中心化自律組織：智能合約：初次虛擬幣募集行為
PA10807-3163	規範場論：發泡現象：對偶方程：奇異集移除：微分幾何
PE10807-1842	王陽明
PF10807-4888	ceo過度自信：家族企業：企業社會責任
PF10807-4653	智慧型精準教學：結構歸納語彙：學習路徑：醫學教育
PB10807-6608	系統建模：系統分析與設計：系統工程
PE10807-1788	外語習得：學童：跨情境詞彙學習：學習路徑：記憶
PF10807-4660	社會企業：跨部門協力治理：社會企業經營模式：社會創新企業登錄資料庫：第三部門
PB10807-6612	能耐生命週期：競爭策略：擴散理論：賽局理論：契約理論：資料包絡分析：決策支援系統
PB10807-6636	廣義線性模型：壓縮感知：統計物理：狀態進化：平行演算法
PF10807-4680	政策不確定性：文本情感分析：退休：退休金：家戶組成：生育決策
PF10807-4674	父母教養：性格：內化行為：外化行為：青少年
PA10807-3071	都市熱島效應：氣膠酸度：pm2.5：三價砷：五價砷：五價砷/三價砷比值
PB10807-6650	光纖微波傳輸系統：5g行動網路：光纖布拉格光柵感測系統：雙向光塞取多工器：自我斷線保護
PB10807-6647	電漿蝕刻技術：像素隔離：倒金字塔陣列：量子效率：碎形結構函數
PE10807-1795	大豹社群：三角湧：歷史記憶：傳統領域：復歸故土運動
PF10807-4701	自我調節學習：社會性科學議題：證據導向做決定
PB10807-6654	網路資料包絡分析：非任意資訊：資訊科技：模糊理論
PF10807-4719	智能障礙：性侵受害：無罪原因：司法改革
PB10807-6689	土壤微生物：次世代定序：土壤污染：即時定量聚合酶鏈鎖反應：微生物檢測
PE10807-1810	日語習得：日語喪失：歸因
PC10807-3158	三維立體(3d)細胞培養：三維立體類器官/球體培養球體(3d-o/s)：癌症轉移：結直腸癌(crc)：β-catenin：細胞骨架
PC10807-3166	zfp36l1蛋白質：ccch-type 鋅指蛋白質：a型流行性感冒病毒
PA10807-3103	能谷電子學：資訊處理：過渡金屬雙硫化物：石墨烯
PE10807-1799	中日修好條規：井上馨：日清外交：近代日中關係：清末外交
PA10807-3078	零和流(zero-sum flow)：零和流數(zero-sum flow number)：零和6-flow猜想(zero-sum 6-flow conjecture)：常數和流(constant sum flow)：常數和流數(constant sum flow number)：關聯矩陣：超圖
PE10807-1883	土匪：英雄：男子漢：陽剛型男性
PE10807-1892	高齡者：認知老化：虛擬實境：擴增實境：認知訓練：使用性
PF10807-4957	混成式：虛擬實境：steam：電銲課程
PB10807-6970	非線性迴歸分析：區間模式：灰色預測：殘差修正：模糊積分：神經網路：柔性計算
PA10807-3243	對流-輻射過程：季內震盪：雲與全球模式
PD10807-0594	保健食品：健康食品：化學性污染物：攙雜物：安全性評估：高解析質譜儀：液相層析/串聯式質譜儀：非標的物分析：暴露評估
PE10807-1885	琴論：詩論：山水畫論：美學範疇
PB10807-6949	bi2te3及zn4sb3熱電薄膜：蒸鍍法：濺鍍法：熱電模組：固液擴散接合
PE10807-1894	博士論文：寫作問題：緒論章節部分：英語作為外語：指導教授-學生看法
PB10807-7002	密合度：客製化面體：回饋式控制系統：奈米濾材
PB10807-7010	日夜節律：物聯網：人工智慧：智慧聯網：雲端運算：霧運算：邊緣運算：人因照明：穿戴式技術
PB10807-6957	紅外線感測器：可轉移性信念模式：室內定位系統：感測空間解析度
PF10807-4914	連續校正：障礙選擇權：隨機利率模型：平滑配適原則
PE10807-1901	電子書：感性意象：感性工學：兒童：眼球追蹤法：腦電波
PB10807-7031	彩妝設計圖：電腦繪圖：3d：輔助教學
PB10807-7032	產品生命週期管理系統能耐：顧客因應能力：利用能耐：探索能耐：創新氛圍
PB10807-7037	分頻多工：平行資料傳輸：感知無線電：類神經網路
PA10807-3255	廣義相對論：物理哈密頓量：重力自由度：量子重力
PE10807-1905	總統文告：時間：空間：意識形態：資料庫語料分析
PB10807-7026	日夜節律調節策略：aiot智能照明系統：睡眠品質：課室專注力：創造力：憂鬱：學科表現：工作表現
PC10807-3380	雙層支架：靜電紡絲：骨軟骨移植替代物
PB10807-7114	同調偵測：強度調變：位元(與功率)分配：非線性失真補償：沃爾泰拉濾波器：人工神經網路：正規化：正交頻分複用：多重頻帶無載子振幅相位調變
PF10807-5035	政治獻金：資金成本：借貸成本：權益成本
PE10807-1943	文化資產：遺產修復：應用人類學：財產關係：布農族：原住民
PF10807-5047	頭戴式虛擬實境：運算思維：地震救災訓練課程
PA10807-3296	快速地表變形：泥貫入體：無震瞬時滑移事件：地震潛勢評估
PF10807-4863	工作記憶廣度：改變偵測派典：視覺空間：對側延遲活化：數位化測驗
PB10801-2040	過氧化氫：混合火箭：單基推進：上層火箭
PC10801-1291	微生物相：口腔鱗狀細胞癌：唾液：指標菌群：機器學習：微型rna：活體菌庫：培養體學
PB10801-2048	近紅外光：有機染料：纖維材料：材料工作軟件：色著程度
PB10801-2029	防災演習：風險溝通：風險辨識：培力：災害治理：參與式行動研究
PB10801-2017	非接觸式供電與充電：超音波馬達：電動載具
PA10801-0792	創傷後壓力症：下視丘-腦垂體-腎上腺皮質素軸線：腸道微生物菌相：單一延長壓力試驗：次世代基因定序：糞便微生物移植
PB10801-2021	化學迴路燃燒：廢棄物處理：資源化：綠色製程
PE10801-0440	傳統知識：性別分工：文化照顧：集體歷史創傷：療癒：轉型正義：修復正義
PE10801-0441	排灣族：狩獵：除喪制度
PB10801-2118	電荷幫浦式電壓倍增電路：時脈非重疊區：時脈可控制電路：輸出電壓抖動
PB10801-2138	創新產品設計與開發：中小企業：健康產業聯盟
PE10801-0446	同志：原住民(族)：歷史創傷：歧視
PE10801-0447	文化永續/復振：原住民族教育：文化復原
PB10801-2232	人工智慧：深度學習：機器學習：社會：倫理：法律
PB10801-2102	急救責任醫院：易損性：邏輯樹：韌性評估：震後救援道路規劃
PB10801-2180	壓力感測塗料：溫度感測塗料：穿音速流：薄翼模型
PA10801-0835	能見度：定量預報：wrf模式：cmaq模式：台大參數法
PF10801-1264	城市意象：產業文化：文資場域：工藝創新：體驗行銷
PG10802-0290	智慧車輛：自動駕駛：軌跡規劃：決策與控制：環境感知：決策規劃
PG10801-0689	七葉膽：氮素：絞股藍皂苷：酚酸：黃酮
PG10802-0360	環境智能：體感科技：擴增實境：運動評量技術：軌跡分析：情緒感知
