PG10707-0063	智慧建築：推廣策略
PG10702-0114	新南向政策推動計畫：國際醫療器材法規調和
PG10702-0222	弱勢家庭：不利地位之家庭：資料庫
PG10705-0077	綠建材：甲醛：揮發性有機化合物
PG10703-0161	himawari-8衛星風資料：fdda技術：數值模式颱風預報
PG10703-0084	癲癇症：中風：丙戊酸
PG10703-0087	離岸風電：船舶監控：急難救助
PG10703-0095	創新前瞻研究：食品產業：生物資源
PW10703-0020	偏頭痛：中央血流動力學：腦白質病變：生物標記：微rna：額葉功能
PW10703-0034	咳嗽：dexlansoprazole：逆流性食道炎gastroesophageal reflux disease)：喉嚨異物感：非心因性胸痛
PW10703-0344	對比劑顯影超音波：纖維肌病：15%高濃度葡萄糖水
PW10703-0316	第一型纖維母細胞生長因子：cd90：cd34：內生性幹細胞：可誘導型一氧化氮合成脢：一氧化氮：基質金屬蛋白脢：脊髓損傷
PW10703-0351	外科專科醫師訓練計劃：外科技術訓練：醫學教育
PW10703-0352	醫學教育：臨床技能：醫學生：醫學專業素養
PW10703-0350	毛囊幹細胞：群聚感應現象：染料雷射：毛髮再生：落髮
PW10703-0334	氧化三甲胺：心血管疾病：動脈硬化：頸動脈結紮小鼠模式
PW10703-0353	脊髓損傷：抑制發炎：神經保護：&#64025;經滋養因子：白藜蘆醇：大網膜瓣：神經再生
PW10703-0335	性別差異：心理健康：代謝症候群：活動量：生活品質
PW10703-0356	癌症：整合醫療：中醫：生活品質
PW10703-0357	互動式臨床技能教學：基礎外科技術：全人醫療教育
PW10703-0319	e-cadherin：壺腹癌
PW10703-0337	瓣膜間質細胞：循環式壓力裝置：細胞表現型
PW10703-0379	視網膜色素上皮(rpe)：老年性黃斑部病變：視網膜：紫外線照射：微型核糖核酸。
PW10703-0367	泌尿道感染：膀胱輸尿管逆流：逆流性腎病變：急性腎盂腎炎
PW10703-0384	纖維化：誘導性多功能幹細胞：ii型肺泡上皮細胞
PW10703-0360	放射線學：影像醫學：核心課程
PW10703-0361	顳骨解剖：住院醫師訓練
PW10703-0362	憂鬱症：腸內菌：慢性壓力：腦源性神經滋養因子
PW10703-0363	陣發性運動障礙症：prrt2：次世代定序：腦磁圖：功能性磁振造影
PW10703-0364	慢性b型肝炎：誘導性多功能幹細胞：先天免疫：抗病毒免疫反應：免疫治療
PW10703-0365	大腸直腸癌：klf4：ddx3：micrornas：musashi-1：dnmts：非基因編碼核糖核酸
PW10703-0366	功能性內視鏡鼻竇手術：經鼻內視鏡顱底手術
PW10703-0377	肺癌：osteopontin：上皮-間質轉化：癌症幹細胞樣特性：預後
PG10702-0157	紡織品：循環經濟
PG10706-0276	智慧健康生活圈：ict加值應用：健康促進服務
PG10702-0173	東部產業：東部產業技術服務中心：產業聚落：跨領域合作：技術輔導
PG10702-0139	波浪模擬：作業化：長浪：流場模擬：港灣
PG10704-0068	醫療照護相關感染監測：監控評估：感染管制查核：台灣院內感染監視系統
PG10703-0085	gmeet模型：碳稅：所得分配
PW10703-0380	bnct：自噬作用：神經膠細胞瘤：dna損害
PW10703-0381	小分子核醣核酸：誘導多能幹細胞：牙周組織再生：骨形態發生蛋白：牙周開窗術
PW10703-0320	先天生殖譜系基因突變：先天遺傳基因變異：急性骨髓性白血病：骨髓化生不良症候群：runx1 基因
PW10703-0382	肺癌幹細胞：外泌小體：治療抗性：musashi1：奈米粒子
PW10703-0374	腦部轉移：肺癌：次世代基因定序：生物標記：治療目標
PW10703-0359	住院醫師：婦科：內視鏡手術：教學
PW10703-0368	外科解剖學：外科醫師：繼續教育課程
PW10703-0369	良性攝護腺增生：中藥：國際攝護腺症狀評分：中醫證型量表：老年男性症狀評分表
PW10703-0383	急性呼吸窘迫症候群：傳遞運送系統：奈米鑽石
PW10703-0370	hbv：hcc：mir-122：entecavir：動物模式：微陣列：代謝體學
PW10703-0371	顧客管理系統：智慧化居家照護：奧馬哈系統
PW10703-0372	腰椎融合術：脊柱後方固定系統：生物可吸收：聚乳酸：固定桿
PW10703-0373	肝癌：同源肝癌腹水細胞：細胞生物學：抗藥性
PW10703-0375	糖尿病：動物模式：鏈脲佐菌素
PW10703-0376	主動脈支架血管：主動脈瘤：主動脈剝離：喙型貼合不良(bird-beak configuration)：內滲漏(endoleak)：位移(migration)：主動脈曲度：主動脈角度
PW10703-0378	動脈硬化：自由基：內皮細胞：沒食子酸：發炎
PW10703-0294	抗癲癇藥物：phenytoin(pht)：藥物過敏反應：藥物基因學
PW10703-0305	惡性腫瘤：肝細胞癌：熱射頻治療：腎細胞癌：冷凍治療
PW10703-0306	免疫檢查哨抑制劑：嚴重副作用：預測因子
PW10703-0323	x染色體性聯遺傳幼年型視網膜層剝離：視網膜色素上皮細胞：視網膜結構
PW10703-0295	乳糖：變形鏈球菌：血統鏈球菌：生物膜：齲齒
PW10703-0310	消化道癌：免疫治療：定序
PW10703-0336	肝硬化：nicotine：出血：腎上腺功能：glypressin
PW10703-0340	腦腸軸：憂鬱症：益生菌
PW10703-0296	動脈鈣化：二甲双胍：高血糖症：ldlr-/-小鼠：自噬：nadph 氧化&#37238;：硝基酪氨酸; 氧化壓力
PW10703-0341	sglt2 抑制劑：第二型糖尿病：慢性腎臟病：身體水分組成儀
PW10703-0345	表皮生長因子受體（egfr） - 酪氨酸激酶抑製劑（tkis）：表皮生長因子受體-酪氨酸激&#37238;抑製劑引起的腹瀉：糞便微生物菌相：非小細胞肺癌
PW10703-0013	肺癌：細胞普恩：缺氧(hypoxia)：缺氧誘導因子(hypoxia-inducible factors)
PW10703-0066	心房顫動：醇脫氫酶1b：醛脫氫&#37238;
PW10703-0100	znf326：抗憂鬱劑：神經增生：凋亡：血清素
PW10703-0091	牙髓再生治療：細胞分化：細菌脂多糖：乙二胺四乙酸二鈉：牙髓細胞：牙周細胞
PW10703-0043	糖尿病：心臟衰竭：全民健保資料庫
PW10703-0136	脊椎微創手術：脊椎內視鏡手術
PG10702-0111	斑蝥素：順鉑抗藥性口腔癌細胞：細胞死亡：蛋白磷酸酶 2a
PG10701-0024	地震：震源參數：破裂過程
PG10701-0027	食品添加物：檢驗
PG10702-0250	高碳燃料重組技術：固態氧化物燃料電池
PG10702-0067	藥品查驗登記：藥品品質管控：審查準則修訂：藥品定義：上市後變更管理
PG10702-0164	腦腸軸：發炎性腸道疾病：潰瘍性結腸炎：克隆氏症
PG10702-0167	新藥探索：癌症：新穎藥物傳輸系統：胃腸道基質瘤：急性骨髓性白血病
PG10703-0093	除役：低放射性廢棄物安全管制
PW10703-0307	重症鎮靜藥物：交感神經系統
PW10703-0308	腎上腺：冷凍治療：高血壓危症：熱射頻治療
PW10703-0297	人類子宮內膜癌：雌激素：腫瘤外吐小體：微小分子核糖核酸
PW10703-0311	運動：睡眠：情緒：憂鬱症：犬尿氨酸
PW10703-0326	c型肝炎病毒：非結構性蛋白質3 (ns3)：非結構性蛋白質5a (ns5a)：直接抗病毒藥物：抗藥性相關置換
PW10703-0346	憂鬱症：腦波：磁振造影：腦部滋養因子：重覆透顱磁刺激：間歇性陣發型磁波刺激
PW10703-0298	b型肝炎：原發性肝惡性腫瘤：口服抗病毒藥物：預後
PW10703-0347	高濃度血小板血漿：慢性腎病肌少症：骨骼肌新生：骨骼肌幹細胞：遠紅外線治療
PW10703-0327	卵巢癌：特異性標靶胜肽
PW10703-0011	肺腺癌：癌症幹源特性：上皮細胞生長因子受體：抗藥性：腫瘤微環境
PW10703-0064	選擇性體內放射治療：釔90：巨聚合白蛋白：制動輻射
PW10703-0036	probiotics：腸道菌落：肝內內皮細胞之功能障礙：肝內阻力上升：一氧化氮
PW10703-0015	骨髓炎：冷凍治療：骨腫瘤
PW10703-0016	注意力不足過動症：情緒障礙：憂鬱：衝動：核磁共振
PW10703-0018	類天疱瘡：共病症：潛藏種類分析：潛藏轉移分析
PW10703-0158	頭頸鱗狀細胞癌：神經旁侵犯：表皮生長因子受體：動物模式
PW10703-0186	老人健檢：代謝症候群：追蹤
PW10703-0105	心血管疾病：缺氧：缺氧誘導因子-1α：prolyl-4-hydroxylase domain-containing proteins (phds)
PW10703-0188	慢性腦灌流不足：血管性認知障礙及失智症：無症狀頸動脈狹窄：白質去髓鞘化：膠細胞增生：神經發炎：微型正子放射電腦斷層造影：動物模式
PW10703-0189	假影：腦血氧相關功能性磁振造影：人腦連結體計畫
PW10703-0106	節律器：年輕族群：心搏過緩
PG10702-0285	生物反應器：自動化微量動態光分子分析系統：中壓液相層析儀：熱重分析儀：小型醱酵系統
PG10702-0176	藥物研發新知：藥物開發新趨勢：ai輔助藥物開發：國際藥品法規與管理：性別分析
PG10703-0094	藥師：疑義處方：用藥安全
PG10704-0108	創業家：共同供應契約：政府採購：商業化前期採購：創新採購
PW10703-0343	食道癌：免疫檢查站蛋白
PW10703-0300	3d列印：微創手術：器具
PW10703-0329	研究資料庫：健保資料庫：癌症：資料品質：研究能力
PW10703-0330	慢性腎臟病：心臟衰竭：心腎症候群：corin：心房利鈉激素
PW10703-0012	肺外非結核分枝桿菌：次分型鑑定：藥物敏感性：治療反應
PW10703-0035	精準醫療：遺傳性聽障：內耳：基因治療：腺相關病毒
PW10703-0083	季節性流感：孱弱：風險評估
PW10703-0014	hbv：mir-122：轉殖基因小鼠：肝癌：肝硬化：纖維化：內質網壓力：電子顯微鏡：免疫組織染色：網狀蛋白染色
PW10703-0065	細胞自噬作用：缺血再灌流急性腎損傷：缺氧間葉幹細胞
PW10703-0037	肝臟移植：雙光子顯微鏡：自體螢光：缺血-再灌流傷害
PW10703-0040	家庭醫學：門診醫療：醫院門診：門診較少就診病人：求助行為
PW10703-0041	次世代定序系統：著床前胚胎染色體檢測：單基因疾病：染色體異常
PW10703-0038	矽基多層次奈米化平台：拉曼光譜技術：鼻咽癌：循環腫瘤細胞：eb病毒 dna
PW10703-0068	酒精：肝硬化：動物模式
PW10703-0039	膽管癌：azd9150：stat3 途徑
PW10703-0159	膽管支架阻塞：內視鏡逆行性膽胰攝影術：膽道炎：阻塞性黃疸
PW10703-0107	頸動脈狹窄：認知功能障礙：腦灌流：功能性聯結
PW10703-0162	淚道阻塞：淚道感染：淚囊炎：淚管塞：淚小管炎
PW10703-0203	免疫檢查點：程序性細胞死亡蛋白：程序性細胞死亡蛋白配體：結核病
PW10703-0204	間葉幹細胞：阿基里斯肌腱病變：低氧培養：異體移植：機轉
PW10703-0021	骨腫瘤：骨肉瘤：3d列印：客製化器械：手術模擬
PW10703-0022	beta-類澱粉蛋白：分子探針：標幟劑：(碳十一)三氟甲基硫酸鹽
PW10703-0047	癌症：crisp/cas9：微型rna：口腔
PW10703-0025	結直腸癌：基因突變
PW10703-0087	計畫性壞死：ripk-1：necrostatin (計畫性壞死抑制劑)：中樞系統神經退化
PW10703-0076	肝硬化：溫度：門脈高壓：交感神經系統
PW10703-0095	遠紅外線：連續性腹膜透析：腹膜功能
PG10703-0165	右堆地區：籤詩：美濃
PG10703-0239	累進處遇制度：監獄：矯正署：受刑人：假釋
PG10703-0189	變電設備：系統整合：資產管理
PG10703-0242	職能治療：視知覺：ppt game：紙本教案：發展遲緩：電腦認知
PG10701-0462	衛生福利資料：生醫產業：個人隱私權：資訊自主權：加值應用
PG10701-0425	倒地蜈蚣：黃酮類：入地蜈蚣素：高解析質譜
PG10702-0267	第五代行動通訊：機器型態通訊：演進型封包核心：演進型節點b：系統工程：低功耗廣覆蓋：窄頻物聯網：技術成熟度評估
PG10702-0282	智慧零售：行銷科技：虛實整合
PG10703-0302	產學合作：實證護理：臨床運用
PW10703-0017	鋅離子：一氧化氮：人類胚胎幹細胞株：生物感應器：訊號傳遞：粒線體
PW10703-0069	b型肝炎病毒：細胞激素：b型肝炎核心相關抗原：定量b型肝炎核心抗體：定量b型肝炎表面抗原：再活化：反向血清轉換：單核苷酸多態性
PW10703-0070	困難縱膈腔病灶：軟式支氣管鏡檢查：王氏生檢針：支氣管內視鏡超音波：經支氣管細針抽吸
PW10703-0090	反應曲面模型：無痛胃鏡與大腸鏡檢查
PW10703-0108	兒童腦瘤：病患腫瘤組織異體移植：精準醫學
PW10703-0109	非小細胞肺癌：上皮生長因子接受器：液態活檢：無細胞去氧核醣核酸：胞外囊泡
PW10703-0044	三陰性乳癌：氨基酸缺乏：綜合壓迫反應：細胞死亡
PW10703-0045	心房顫動：惡性腫瘤：腦中風
PW10703-0073	心臟衰竭：重度二尖瓣關閉不全：認知功能
PW10703-0024	自噬作用：乙胺丁醇：視神經病變：神經膠細胞
PW10703-0074	直腸癌：放化療抗性：腫瘤微環境：腫瘤相關巨噬細胞：大腸癌幹細胞
PW10703-0049	椎間盤退化：間葉幹細胞：巨噬細胞：趨化因子：發炎：條件培養液
PW10703-0026	龐貝氏症：酵素補充療法：支氣管鏡
PW10703-0053	小腸：缺血再灌流：細胞素：血管收縮素(1-7)
PW10703-0027	原發部位不明癌 (cup)：次世代基因定序 (ngs)：循環腫瘤細胞 (ctc)：結合致死性
PW10703-0054	動物模式：糖尿病黃斑水腫：糖尿病視網膜病變：高同半胱胺酸血症
PW10703-0029	第三誘餌受體：第二型巨噬細胞：溶疤酶：&#64025;經再生
PW10703-0056	hbv：肝癌：動物模式：發炎：內質網壓力：性別：抗藥性：染色體：鑲嵌
PW10703-0088	阿茲海默氏症：腦小血管病：心血管疾病危險因子：血管性失智症
PW10703-0089	粒線體疾病：誘導性多能幹細胞：粒線體移植技術：再生醫學
PW10703-0079	白色念珠菌：感染：診斷：分子生物診斷
PW10703-0006	腎臟移植：免疫組庫：切片：排斥：病毒腎炎。
PW10703-0058	細菌移行：腸道菌落失調症：內臟血管擴張及內臟血管新生
PW10703-0061	肝細胞癌：經皮熱射頻術：預防性抗生素
PW10703-0314	冠心病：血流動力學：粥狀動脈硬化
PW10703-0315	早發型失智症：基因突變：次世代序列分析：基因篩檢
PG10703-0252	基因標記：生活品質：精準照護
PG10703-0218	諾羅病毒：抗體：快速檢測試劑
PG10703-0228	臺灣醫學會雜誌：新聞及前瞻：影響係數：綜論
PG10703-0226	六堆地區：集群分析：因地制宜：客庄產業
PW10703-0302	3d列印：手術模擬
PW10703-0332	銅缺乏：乙胺丁醇：視神經病變的角色
PW10703-0510	前列腺癌：p35蛋白：cdk5蛋白：vegf表現：血管新生
PW10703-0544	細胞停滯：m期：分裂面
PW10703-0486	中醫體質：妊娠糖尿病：世代研究
PW10703-0487	表面電漿共振：表面增強拉曼光譜：生物檢測
PW10703-0405	缺血性疾病：硫化氫：二烯丙基三硫：藥物傳輸：控制釋放
PW10703-0443	麻醉劑：免疫確認點：腫瘤
PW10703-0475	脈搏壓：預後：急性缺血性腦中風
PW10703-0391	鼻咽癌：新輔助化療：放射治療：eb病毒：定量聚合酶連鎖反應
PW10703-0392	葛瑞夫茲氏症：鎝99m甲狀腺掃描：單光子射出斷層掃描：抗甲狀腺藥物
PG10703-0339	自主學習：數位學習平台：資料庫：核心素養指標
PG10711-0039	專利連結：專利藥：學名藥
PG10704-0062	國際衛生條例：船舶衛生檢查
PG10704-0004	蟲媒病毒：重組桿狀病毒：快速檢驗試劑
PG10704-0167	新興菸品：電子煙：加熱式菸品：青少年：預防教育
PG10704-0034	用過核子燃料：室內乾式貯存設施：核能電廠除役
PG10704-0064	退伍軍人病：退伍軍人菌：資料庫
PG10704-0093	食媒疾病：食媒疾病分子分型監測系統：實驗室自動通報系統：流行病學調查：脈衝電泳法：全基因體定序法
PG10704-0065	禽流感：流行病學訓練：疫情調查
PG10703-0297	福島核災：核分裂核棰：核能電廠：洋流：海洋生物
PG10704-0185	多晶矽鍺：半導體微機電：感測晶片
PG10701-0318	鄰苯二甲酸酯類：加工食品：背景值：飲食暴露風險評估：風險溝通及管理
PG10701-0299	校長領導：偏鄉教育：教育法制：學校組織
PG10702-0056	肝癌細胞：alizarin：人類hepg2：細胞凋亡
PG10702-0064	底泥：水力漩流：分離
PB10702-2435	精神疾病：機器學習：腦影像：全基因組遺傳標記
PB10702-2005	市場支配力：需求不確定性：上下游信用交易：財務槓桿：公司價值：存貨管理：存貨調整速度
PB10702-1979	路網疏散問題：清空時間：動態規劃：階段性疏散
PD10702-0215	龍膽石斑：膽固醇：豆粉：代謝基因表現
PG10611-0060	臨床試驗中心：臨床試驗：醫師自行發起臨床試驗與研究
PG10706-0364	離岸：風力發電：腐蝕
PG10611-0067	臨床試驗中心：人體試驗：香港大學臨床試驗中心：人體研究
PW10703-0145	頸動脈狹窄：支架置放術：預後：電腦斷層血管影像：磁振血管影像
PG10701-0307	孔內電探監測技術：土壤與地下水污染整治
PG10701-0311	超高溶氧奈米氣泡水：現地生物復育技術：石化污染場址
PG10702-0200	印刷電路板：導熱封裝材：碳化矽：寬能隙基板：低溫共燒陶瓷：介電改質
PW10703-0103	食道靜脈曲張：內視鏡結紮術
PW10703-0231	單基因疾病：母血循環胎兒細胞：母血血漿cell-free dna：母胎免疫模組
PW10703-0232	慢性阻塞性肺病：香菸萃取物：尼古丁：心血管疾病：內皮細胞：血管重塑
PG10801-0298	iec：iecq：cteccb：hspm：itl：esd：aqp：led
PW10703-0399	代謝體：全身性麻醉劑：手術患者：生物標誌：生物功能
PW10703-0433	細胞凋亡：人類肺癌細胞：侵襲：轉移：增殖：夏枯草：細胞活性
PW10703-0419	口腔護理：創傷暨神經重症加護病房：鼻胃管：口腔健康
PW10703-0421	鈦合金：多孔支架：燒結：機械性質
PG10612-0215	芳香烴受體：細胞譜系：誘導多能型幹細胞：jun 二聚化蛋白-2：神經管胚細胞瘤：細胞核轉錄nf-e2相關因子：活性氧化物：重編程
PG10612-0258	細胞分選儀：生物標的物
PG10704-0005	嗜吞噬球無形體：斑點熱群立克次體：point of care篩檢
PG10704-0006	發熱伴血小板減少綜合症：斑點熱：無形體病：人類單核球艾利希氏體症
PG10704-0019	團體推動標準化活動補助：世界標準日：標準人才培訓
PG10704-0024	抗病毒：紡織品：產業標準：標準化推動
PG10704-0189	住宅用電：家用電器：普及率：耗電量
PG10703-0201	遠距照護：血糖：血壓：獨居老人：社區醫療群
PG10703-0267	行業詞：南投客語：客語語料庫：客家產業
PG10704-0013	自行車：載人自行車
PG10703-0353	馬達動力機械：全球馬達節能：能源效率基準
PG10706-0361	系統式施工架：國家標準：可行性評估
PG10702-0345	物聯網：物聯網標準驗證：物聯網檢測：軟體測試自動化：效能測試：互通性測試
PG10702-0307	高產量cho細胞表現系統：雙特異性抗體藥物：抗體藥物複合體：體內放射治療藥物
PG10703-0177	地誌書寫：屏東客庄：文學地景：gis：六堆：觀光旅遊
PG10703-0166	混合車流：交通安全：交通工程
PG10702-0122	登革熱：臺灣法醫解剖及相驗致死性傳染病通報與偵測系統：血清學檢驗：法醫分子病理
PG10702-0077	食品良好衛生規範：衛生安全管理：食品容器具及包裝：食品接觸材質：風險溝通
PG10702-0296	試量產：快速試製：新創事業：矽谷：臺灣創新快製媒合中心
PG10702-0083	臨床技能：客觀結構式臨床技能測驗：中醫：臨床教學
PG10702-0068	藥物濫用：職場：教育
PE10702-0247	女性文學：視覺藝術：肖像畫：十八世紀英國文學：普西拉・魏客霏：瑪麗・羅賓森：夏綠蒂・史密斯
PB10702-1977	統計耦合理論：最佳化：地震預警系統
PG10701-0077	庫賈氏病：普利昂蛋白：腦波：磁振造影：生物標記
PG10702-0279	資料紀錄器：駕駛模型網路：光學雷達
PG10702-0273	抗彈陶瓷：防護材料：碳化硼：異質膠合：預浸料：橡膠酚
PG10701-0211	奈米藥物：細胞質藥物傳輸
PG10708-0043	荔枝核萃取物：核質分佈：大腸腫瘤：p21
PG10712-0194	循環經濟：高成長企業：中堅企業：外溢效果
PW10703-0171	水通道蛋白-4（aqp4）：基因多型性：腦白質病變：磁振造影
PG10702-0050	多都卜勒雷達風場合成：熱動力反演：對流尺度：短期預報
PW10703-0130	肝癌：門靜脈癌栓：肝癌晚期手術
PW10703-0131	電腦導航手術：眼球內陷：複視
PW10703-0291	肺癌：巨噬細胞：t淋巴細胞：自然殺手細胞：計畫性細胞死亡蛋白-1
PW10703-0274	主動脈瘤：內皮細胞：組蛋白去乙醯化酵素
PW10703-0251	膠質母細胞瘤類幹細胞：環狀核醣核酸：rna結合蛋白musashi：後轉錄調控
PW10703-0260	myoglobin：creatine kinase：interleukin-6：c-reactive protein：脊椎：脊椎微創手術：脊椎退化性病變
PW10703-0261	細胞週期：糖解作用：粒線體：活性氧化物質：肉瘤
PW10703-0264	動靜脈廔管：光學同調斷層掃描術：內皮前驅細胞
PW10703-0559	老化：失智：運動：鈉-葡萄糖共同運輸器-2抑制劑
PW10703-0560	糖尿病：糖尿病腎病變：全基因組關聯研究：全基因組單核苷酸多態性陣列
PW10703-0561	口腔癌：生物標誌分子：複合式酵素免疫分析：il-2ra：il-16：ifn-α2：il-8：組織微陣列
PW10703-0568	全人醫療照護：可信賴專業活動：跨領域團隊合作：住院醫師：臨床教師
PW10703-0569	光學同調電腦斷層掃描：體積：自動化
PW10703-0553	肝癌：內質網壓力：未折疊蛋白反應
PW10703-0554	擴潔殺菌液：關節置換術：手術部位感染
PW10703-0428	嗅覺訓練：類固醇：外傷後嗅覺喪失
PW10703-0430	cisplatin抗藥性：自嗜作用：細胞凋亡：中草藥cm001：非小細胞肺癌
PW10703-0437	糖尿病：微生物：抗生素：失智症：腸腦軸：健保資料庫：糖尿病腎病變：總體基因體學
PG10701-0340	健康食品：法規諮詢：評估方法
PW10703-0450	尿酸：死亡率
PW10703-0451	安寧療護：死亡因應自我效能
PW10703-0483	異單胞菌：希瓦氏菌：鐵螯合蛋白
PG10703-0285	癌症與免疫治療：免疫調節與預後因子：中西醫整合療法：增加存活率：和緩副作用
PG10701-0227	愛滋病：男男間性行為：接觸者追蹤：抗藥性：慢性共病：愛滋指定門診
PG10704-0009	結核病：快速基因診斷系統：抗藥性
PG10704-0012	結核病：人畜共通的傳染病：牛型結核菌：鑑別檢測
PG10704-0122	快速篩檢平台：創新標定法
PG10704-0020	呼吸道病毒：肺炎：呼吸道群聚：病原體檢驗
PG10704-0039	新興及再浮現傳染病：生物材料庫：基因序列：本土生物材料資源庫
PG10704-0063	授權：老人：長期照顧機構：自我照顧
PG10705-0013	電動大客車：自動輔助駕駛：示範計畫
PG10705-0017	公司法：產業發展政策：法規調適
PG10705-0032	國家教育研究院：候用校長：課程模組：師資結構：追蹤研究
PG10705-0024	x光攝影巡迴車：在院乳房x光攝影：影像品質：成效分析
PG10705-0028	導尿管：泌尿道感染：組合式照護：醫療照護相關感染：侵入性醫療裝置
PG10705-0051	吸附：除溼輪：乾燥系統
PG10705-0027	急性呼吸衰竭：拒絕插管：非侵襲性正壓呼吸器：拒絕心肺復甦術同意書（dnr）
PG10705-0029	領導型態：工作滿意度：離職傾向
PG10701-0313	生物咐附材：固態生質燃料：土壤淋洗：綠色整治
PG10701-0339	非處方藥品標示：藥品資訊：使用者友善
PG10701-0430	定志丸：高效液相層析：高解析質譜
PG10703-0042	高齡友善城市：環境監測：指標
PG10702-0152	藥物濫用：意外事故：新興濫用藥物
PG10702-0211	下世代汽車：節能動力系統：主動安全系統：輕量模組化結構平台
PG10703-0199	口腔癌前病變：危險性評估：分子生物標記：念珠菌：單細胞分析
PG10703-0194	台灣傳統建築：預防性保存：保存科學：保存環境：監測：cfd：微氣候
PG10701-0489	浮力通風：風洞實驗：計算流體動力學
PG10702-0128	電力政策：電力市場：電業法
PG10702-0130	電信號碼：編碼計畫：編碼演進：編碼機制：物聯網：e-sim
PB10702-2053	精密模具：合理化：熱間鍛造：有限元素法：deform模擬
PD10702-0211	維生素b1：b6：甲魚：硫胺素
PC10702-0544	流行性感冒病毒：腸-肺軸：腸道菌叢：免疫調控
PB10702-2371	鹼性乙醇燃料電池：奈米結構複合膜：結構-特性相關性：材料穩定性分析
PB10702-2372	深度學習：轉移學習：領域適應：影像翻譯：影像合成：深度預測：影片精選
PF10702-0532	分組：相互學習：現場實驗
PB10702-2437	記憶體運算：ai終端：分散式協同合作計算：深度學習
PB10702-2071	氣渦輪發動機：壓縮器：葉片：高壓縮比：計算流力
PB10702-2438	車輛通訊平臺：車輛通訊：軟體無線電：網路功能虛擬化
PC10702-0599	trpm2：pka：pkc：akap79/150：性別差異
PB10702-1970	防災社區：社福機構：防災：究平安數位資訊平台
PB10702-2439	衍生性金融商品：演算法：蒙地卡羅模擬：隱含樹：二元模型：波動率曲面：波動模型：局部波動模型：複雜度：泛函：彩虹選擇權：多變數選擇權
PB10702-2441	智慧醫療：智慧醫材：智慧照護：智慧生技：智慧服務：技術與製造
PB10702-2442	農業科技前瞻規劃：國際趨勢掃描：策略規劃：科技計畫管理：滾動式管考：潛力亮點篩選：關鍵技術盤點：研發成果多元露出：成果推廣
PG10612-0217	攝護腺：癌症
PG10702-0268	系統體系：科技化服務
PG10704-0048	鋰鹽：腎臟病變：全民健保資料庫：躁鬱症
PG10702-0115	中醫：臨床實務：客觀結構式臨床測驗
PG10701-0440	溫室氣體減量：節能減碳：氣候變遷
PG10701-0053	神經退化疾病：單株抗體
PG10701-0415	定志丸：阿茲海默氏症：人參：茯苓：遠志：石菖蒲
PG10703-0200	全民健保：就醫權益架構：滿意度：文字採礦：輿情分析
PW10703-0195	實證實踐：照護指引制定：醫病共享決策
PW10703-0178	回饋機制：醫療照護相關感染：導尿管相關尿路感染：感染管制
PW10703-0206	傳染病：疫情監控：整備量能
PW10703-0210	足踝骨折：開放式復位及內固定：微創手術：足踝關節鏡
PW10703-0216	肝硬化：dpp-4 抑制劑：腎臟灌流：腎臟血管反應性
PW10703-0217	硼中子捕獲治療：治療計畫：病患位置誤差：劑量評估
PW10703-0219	頭頸癌：皮瓣：鎮靜藥：呼吸器脫離
PW10703-0223	研究資料庫：健保資料庫：癌症：資療品質：研究能力
PW10703-0225	護理臨床教師：教學能力：新進護理人員：專業核心能力
PW10703-0284	傳染病：疫情監控：資訊系統
PW10703-0286	阿茲海默症前期：輕度認知障礙：自覺認知減退：生物標記
PW10703-0512	高度醣化終產物：糖尿病視網膜病變：n-羧甲基離胺酸：芳香烴受體
PW10703-0520	氟-18 去氧葡萄糖正子影像：suv值：健康受檢者
PW10703-0505	僵直性脊椎炎：生物製劑：療效預測：rna測序
PW10703-0459	鏡像氨基酸：鏡像化合物感測器：環境敏感性高分子：冠醚：選擇性
PW10703-0461	急重症病童家屬：善終
PW10703-0467	孟表多：分枝桿菌：視神經病變
PW10703-0494	巴金森氏症：認知功能：嗅覺：核子醫學腦質斷層灌注掃描
PW10703-0473	體素內不同調水分子運動：無對比劑磁共振血管成像：移植腎功能延遲
PW10703-0480	肺癌：血脂異常：statin：p53：遷移
PG10709-0026	藥師照護：雲端藥歷查詢：用藥安全與品質：餘藥檢核
PG10704-0010	人類免疫缺乏病毒：抗藥性：基因亞型
PG10704-0051	認可檢驗機構：傳染病檢驗網：傳染病檢驗分級化：臺灣
PG10704-0052	腹瀉：腹瀉病毒：次世代定序分析平台：人畜共通感染
PG10704-0126	腹瀉：病原
PG10705-0031	hiv/aids：性病知識：態度：性傾向：愛滋病毒感染認知：汙名化：歧視
PA10705-0073	液晶：液晶檢測技術：養殖水質監測：水質監測晶片：微小化晶片：溶氧量檢測：氨氮檢測
PA10705-0074	隨機波動模式：變數選取：隨機搜尋變數選取法：最小絕對收縮和選擇算子法：實現測度：波動預測
PA10705-0081	磁珠：核酸萃取：磁性碳量子點：dna甲基化：膀胱癌
PB10705-0071	斷裂長度：rayleigh不穩定性：旋轉速度：液滴：液柱
PG10705-0034	中藥材：農藥：殘留容許量
PG10701-0431	論壇：衛生福利：衛生科技：衛生政策：智庫
PG10701-0433	玉山國家公園：開花結實物候：玉山杜鵑：玉山櫻草：全球氣候變遷：高山生態系
PG10702-0322	能源消耗：溫室氣體排放：小貨車：車載污染量測系統
PG10703-0018	預診斷與健康管理：智慧製造：物聯網
